dataset,subset,model,metric,estimate
nested_development,potency_stratum:<=4,mean,bias,1.4587159950817459
nested_development,potency_stratum:<=4,mean,calibration_intercept,11.416480364325203
nested_development,potency_stratum:<=4,mean,calibration_slope,-1.9940756294170257
nested_development,potency_stratum:<=4,frozen_nesso,n,1041.0
nested_development,potency_stratum:<=4,frozen_nesso,mae,1.9879474767531222
nested_development,potency_stratum:<=4,frozen_nesso,rmse,2.130765592479954
nested_development,potency_stratum:<=4,frozen_nesso,rae,3.2710811006620695
nested_development,potency_stratum:<=4,frozen_nesso,pearson,0.07630236007376122
nested_development,potency_stratum:<=4,frozen_nesso,spearman,0.09847647840002215
nested_development,potency_stratum:<=4,frozen_nesso,bias,1.9879474767531222
nested_development,potency_stratum:<=4,frozen_nesso,calibration_intercept,2.117869789737623
nested_development,potency_stratum:<=4,frozen_nesso,calibration_slope,0.14983849715857692
nested_development,potency_stratum:<=4,affine_frozen_nesso,n,1041.0
nested_development,potency_stratum:<=4,affine_frozen_nesso,mae,1.2536755386086496
nested_development,potency_stratum:<=4,affine_frozen_nesso,rmse,1.4777190582692998
nested_development,potency_stratum:<=4,affine_frozen_nesso,rae,2.062868566026189
nested_development,potency_stratum:<=4,affine_frozen_nesso,pearson,0.07193404244420928
nested_development,potency_stratum:<=4,affine_frozen_nesso,spearman,0.09607681514847706
nested_development,potency_stratum:<=4,affine_frozen_nesso,bias,1.2405960007359775
nested_development,potency_stratum:<=4,affine_frozen_nesso,calibration_intercept,2.367607875872015
nested_development,potency_stratum:<=4,affine_frozen_nesso,calibration_slope,0.1160921598486652
nested_development,potency_stratum:<=4,fine_tuned_nesso,n,1041.0
nested_development,potency_stratum:<=4,fine_tuned_nesso,mae,1.025536431261564
nested_development,potency_stratum:<=4,fine_tuned_nesso,rmse,1.2748340135938765
nested_development,potency_stratum:<=4,fine_tuned_nesso,rae,1.6874755885498314
nested_development,potency_stratum:<=4,fine_tuned_nesso,pearson,0.28770117761219527
nested_development,potency_stratum:<=4,fine_tuned_nesso,spearman,0.28450786500252856
nested_development,potency_stratum:<=4,fine_tuned_nesso,bias,0.904719714654244
nested_development,potency_stratum:<=4,fine_tuned_nesso,calibration_intercept,1.8845525276665562
nested_development,potency_stratum:<=4,fine_tuned_nesso,calibration_slope,0.2554451219315162
nested_development,potency_stratum:<=4,nested_2d_lightgbm,n,1041.0
nested_development,potency_stratum:<=4,nested_2d_lightgbm,mae,0.732452376523496
nested_development,potency_stratum:<=4,nested_2d_lightgbm,rmse,0.9976112257276528
nested_development,potency_stratum:<=4,nested_2d_lightgbm,rae,1.2052185251364
nested_development,potency_stratum:<=4,nested_2d_lightgbm,pearson,0.36230864202047736
nested_development,potency_stratum:<=4,nested_2d_lightgbm,spearman,0.3749518321540663
nested_development,potency_stratum:<=4,nested_2d_lightgbm,bias,0.5221158025877948
nested_development,potency_stratum:<=4,nested_2d_lightgbm,calibration_intercept,1.7589672756823376
nested_development,potency_stratum:<=4,nested_2d_lightgbm,calibration_slope,0.32183766672559816
nested_development,potency_stratum:>6,mean,n,55.0
nested_development,potency_stratum:>6,mean,mae,2.0124270297078835
nested_development,potency_stratum:>6,mean,rmse,2.030118305862714
nested_development,potency_stratum:>6,mean,rae,10.38086054028676
nested_development,potency_stratum:>6,mean,pearson,0.17695563939612005
nested_development,potency_stratum:>6,mean,spearman,-0.0070628866957244095
nested_development,potency_stratum:>6,mean,bias,-2.0124270297078835
nested_development,potency_stratum:>6,mean,calibration_intercept,-1.4459292742447312
nested_development,potency_stratum:>6,mean,calibration_slope,1.8050856780976114
nested_development,potency_stratum:>6,frozen_nesso,n,55.0
nested_development,potency_stratum:>6,frozen_nesso,mae,0.9226510130339539
nested_development,potency_stratum:>6,frozen_nesso,rmse,1.0030545979134553
nested_development,potency_stratum:>6,frozen_nesso,rae,4.759383248320845
nested_development,potency_stratum:>6,frozen_nesso,pearson,0.4485377586581392
nested_development,potency_stratum:>6,frozen_nesso,spearman,0.17679637980866608
nested_development,potency_stratum:>6,frozen_nesso,bias,-0.9222599948521357
nested_development,potency_stratum:>6,frozen_nesso,calibration_intercept,4.796510944578997
nested_development,potency_stratum:>6,frozen_nesso,calibration_slope,0.2806551262352956
nested_development,potency_stratum:>6,affine_frozen_nesso,n,55.0
nested_development,potency_stratum:>6,affine_frozen_nesso,mae,1.5450222888569376
nested_development,potency_stratum:>6,affine_frozen_nesso,rmse,1.616273807414219
nested_development,potency_stratum:>6,affine_frozen_nesso,rae,7.969809923784728
nested_development,potency_stratum:>6,affine_frozen_nesso,pearson,0.453594618132415
nested_development,potency_stratum:>6,affine_frozen_nesso,spearman,0.18661038293273902
nested_development,potency_stratum:>6,affine_frozen_nesso,bias,-1.5450222888569376
nested_development,potency_stratum:>6,affine_frozen_nesso,calibration_intercept,5.207080248722091
nested_development,potency_stratum:>6,affine_frozen_nesso,calibration_slope,0.2311514986362477
nested_development,potency_stratum:>6,fine_tuned_nesso,n,55.0
nested_development,potency_stratum:>6,fine_tuned_nesso,mae,1.348632258614731
nested_development,potency_stratum:>6,fine_tuned_nesso,rmse,1.3992231956059644
nested_development,potency_stratum:>6,fine_tuned_nesso,rae,6.956755792950988
nested_development,potency_stratum:>6,fine_tuned_nesso,pearson,0.25367301725118085
nested_development,potency_stratum:>6,fine_tuned_nesso,spearman,0.09276397805879195
nested_development,potency_stratum:>6,fine_tuned_nesso,bias,-1.348632258614731
nested_development,potency_stratum:>6,fine_tuned_nesso,calibration_intercept,5.287861351986067
nested_development,potency_stratum:>6,fine_tuned_nesso,calibration_slope,0.2057096851738745
nested_development,potency_stratum:>6,nested_2d_lightgbm,n,55.0
nested_development,potency_stratum:>6,nested_2d_lightgbm,mae,1.2449852063224587
nested_development,potency_stratum:>6,nested_2d_lightgbm,rmse,1.345626091190778
nested_development,potency_stratum:>6,nested_2d_lightgbm,rae,6.42210505562012
nested_development,potency_stratum:>6,nested_2d_lightgbm,pearson,0.09161839980905695
nested_development,potency_stratum:>6,nested_2d_lightgbm,spearman,0.2610138941130173
nested_development,potency_stratum:>6,nested_2d_lightgbm,bias,-1.2449852063224587
nested_development,potency_stratum:>6,nested_2d_lightgbm,calibration_intercept,6.033973472127702
nested_development,potency_stratum:>6,nested_2d_lightgbm,calibration_slope,0.054135265811097344
