split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled,source_row,source_file,source_metric,value,panel,aggregation
chemical_cluster,50,head_random,50,0.6072733661676888,0.602587226050908,0.5612189549895358,0.7060781135934765,134782.53311598694,221956.86511208976,0.7993246129334033,0.3772707911852261,0.5290446815196629,0.5258822634987155,26.452234075983142,0.8487387109189691,0.9287434995479892,4.7457162896474205,0.6072465163351483,27,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6072733661676888,practical_readouts,mean-task weighted MAE
chemical_cluster,50,morgan_ridge,50,0.6772165333377744,0.6627257129145534,0.6115753635125102,0.8796970022899138,150334.37577863148,221956.86511208976,0.884268379873931,0.3665621005806742,0.027841212879648,0.0271652879964676,1.392060643982404,0.8270048691853961,0.9248305630890684,4.920135679404912,0.6773134757634622,30,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6772165333377744,practical_readouts,mean-task weighted MAE
chemical_cluster,50,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208976,0.9149922251561944,0.713037645175738,0.0043460359789605,0.003031189995454,0.2173017989480286,0.8285873991926461,0.9278792191401948,5.404040339660645,0.628051182696441,31,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6281891945792168,practical_readouts,mean-task weighted MAE
chemical_cluster,100,head_pretrained,50,0.5937844814588362,0.5947916756365528,0.5440743957095131,0.7584727273357934,131766.17267104652,221956.86511208976,0.7899903265085669,0.4062177847415189,0.7836935118397378,0.807552548500098,39.18467559198689,0.816113154856207,0.9128902285115866,4.314742499796549,0.5936566665982765,38,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5937844814588362,practical_readouts,mean-task weighted MAE
chemical_cluster,100,head_random,50,0.5978108838674561,0.5868961471313516,0.5446934972636667,0.7466710784920227,132660.2905199041,221956.86511208976,0.7880938695997783,0.3657938118172936,0.720471647959348,0.7193894455012924,36.0235823979674,0.8173409682876399,0.9103503307286772,4.249650374603272,0.5976850071878143,39,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5978108838674561,practical_readouts,mean-task weighted MAE
chemical_cluster,100,morgan_ridge,50,0.6570938053571937,0.6565014642349182,0.6010732561118882,0.7776630912603382,145855.61094714486,221956.86511208976,0.8607007921097848,0.3605675101892578,0.0524150309993274,0.0507633715005795,2.6207515499663714,0.8179648326665055,0.9110884061473468,4.616910517223852,0.6571349386894915,42,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6570938053571937,practical_readouts,mean-task weighted MAE
chemical_cluster,100,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208976,0.9149922251561944,0.713037645175738,0.0038446007001766,0.0029800889969919,0.1922300350088335,0.8128829336842012,0.9122588902911666,5.037701569366455,0.628051182696441,43,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6281891945792168,practical_readouts,mean-task weighted MAE
chemical_cluster,250,head_pretrained,50,0.5641723372497011,0.5666299749216921,0.5184894262725652,0.6105273806548819,125201.0131154614,221956.86511208976,0.7538657809043872,0.3989679860193817,2.0260600479805726,2.0566508429983514,101.30300239902864,0.8098404983754465,0.9045777055753964,3.8490746509552,0.5640781286590708,50,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5641723372497011,practical_readouts,mean-task weighted MAE
chemical_cluster,250,head_random,50,0.5612058111072592,0.564993089800637,0.5062297612365336,0.5931269206848313,124544.97411011432,221956.86511208976,0.7467088539268397,0.3775233629800024,1.9134256640401144,1.9454426805004916,95.67128320200572,0.8090617419868782,0.9032909069752872,3.795345264561971,0.5611224237070488,51,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5612058111072592,practical_readouts,mean-task weighted MAE
chemical_cluster,250,morgan_ridge,50,0.6108298848296282,0.6056354358663163,0.5721483585723579,0.6722724559124627,135568.10088683962,221956.86511208976,0.793174550976496,0.3186065775529297,0.1503402956408535,0.1501647880049859,7.517014782042679,0.8098989465016156,0.9099023925243684,4.131966400044379,0.6107857975844846,54,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6108298848296282,practical_readouts,mean-task weighted MAE
chemical_cluster,250,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208976,0.9149922251561944,0.713037645175738,0.0032081608603039,0.0030538210012309,0.1604080430151953,0.8068157407158776,0.9094535144956722,4.850505941772461,0.628051182696441,55,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6281891945792168,practical_readouts,mean-task weighted MAE
chemical_cluster,500,head_pretrained,50,0.5401831500196523,0.5435013771155596,0.5017689313089552,0.5702602433312278,119875.7977476964,221956.86511208976,0.7097737660535693,0.3601457442803575,3.7332630386392704,3.747283186499772,186.6631519319635,0.7966800032222551,0.9037117245329968,3.511961650848389,0.5400860103478136,62,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5401831500196523,practical_readouts,mean-task weighted MAE
chemical_cluster,500,head_random,50,0.5390212209628682,0.5381496095421002,0.5045196393718799,0.5961562420327767,119612.32450733028,221956.86511208976,0.7039676826141996,0.3393796986747422,3.468656949740689,3.5260712139970565,173.43284748703445,0.7986247236468766,0.9050272101536836,3.478161136118571,0.5388989633049881,63,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5390212209628682,practical_readouts,mean-task weighted MAE
chemical_cluster,500,morgan_ridge,50,0.5776803936020505,0.5761176234937677,0.5493369787347431,0.624916380329031,128213.2680097355,221956.86511208976,0.7488493455957567,0.3040584141793832,0.3179575144812406,0.315216089000387,15.897875724062033,0.7968320757587963,0.9018547658047136,3.743732341835616,0.5776494813304689,66,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5776803936020505,practical_readouts,mean-task weighted MAE
chemical_cluster,500,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208976,0.9149922251561944,0.713037645175738,0.003108147079838,0.0030742959970666,0.1554073539919045,0.7972742407561558,0.9059524448860128,4.773245110321045,0.628051182696441,67,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6281891945792168,practical_readouts,mean-task weighted MAE
