budget,method,subset,n,mae,weighted_mae,spearman,bias,weight_sum,coverage_80,coverage_90
500,mw,lt215,237,1.522428697700611,1.308140523463737,0.13981940301411988,1.5167010136863475,585.2039319455,0.28270042194092826,0.6835443037974683
500,mw,gt215,3107,0.7662936127313399,0.6017763358000177,0.2157973231476569,0.31195181504579644,21610.48257926348,0.7949790794979079,0.9005471515931767
500,native,full,3344,0.825730975697645,0.6177000232751642,0.386861340150532,0.40468711165029647,22195.68651120898,0.7646531100478469,0.8794856459330144
500,native,lt215,237,1.80288239110302,1.5699609706207098,0.02078667998322169,1.7996007171873867,585.2039319455,0.20253164556962025,0.5189873417721519
500,native,gt215,3107,0.7511944821504696,0.5919131465323241,0.30911089706627076,0.29828398177830084,21610.48257926348,0.8075313807531381,0.9069842291599614
500,native_continuous,full,3344,0.9141240809370189,0.6272246217981062,0.38687161269746456,0.7126681299111186,22195.68651120898,0.756578947368421,0.8842703349282297
500,native_continuous,lt215,237,2.069383531159992,1.8340966011725874,0.027688678116217252,2.069383531159992,585.2039319455,0.16033755274261605,0.5274261603375527
500,native_continuous,gt215,3107,0.8260016188504901,0.5945429718120712,0.3080708264337624,0.6091787349655174,21610.48257926348,0.8020598648213711,0.9114901834567106
500,native_mw,full,3344,0.7881206275545599,0.6003679706127945,0.43563176828781136,0.37255446758186883,22195.68651120898,0.7625598086124402,0.8890550239234449
500,native_mw,lt215,237,1.3687863996877743,1.1628662277196273,0.09736631457130616,1.353559930803573,585.2039319455,0.3628691983122363,0.7383966244725738
500,native_mw,gt215,3107,0.7438278087597187,0.5851357243839539,0.333213943571806,0.2977239896985267,21610.48257926348,0.7930479562278725,0.9005471515931767
500,native_mw_interaction,full,3344,0.7485157701068241,0.5828063484136573,0.42478934105957095,0.3287133662556062,22195.68651120898,0.7742224880382775,0.8839712918660287
500,native_mw_interaction,lt215,237,0.9550610378593385,0.8628801215678391,0.08287851924785981,0.7186397513151935,585.2039319455,0.6329113924050633,0.8776371308016878
500,native_mw_interaction,gt215,3107,0.7327606273783573,0.5752220534918072,0.3247301544026738,0.2989700275819266,21610.48257926348,0.7850016092693917,0.884454457676215
500,repr_ridge_stable,full,3344,0.6666029104416206,0.5344679183218226,0.6084392250204703,0.23655010479982502,22195.68651120898,0.7831937799043063,0.8791866028708134
500,repr_ridge_stable,lt215,237,0.9735965362243522,0.9238616935172054,0.10415652485575269,0.5012000380744052,585.2039319455,0.5443037974683544,0.7426160337552743
500,repr_ridge_stable,gt215,3107,0.6431856303288083,0.5239232778917148,0.5454373760493506,0.21636277483971061,21610.48257926348,0.8014161570646926,0.8896041197296427
