split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
butina,CYP3A4,nesso,MW>=215,4,478,0.7736063271148236,-0.012768326978318895,0.47972526159760975,0.5028064788016074,1.0660881396141766
random,CYP1A2,additive,all,pooled,1412,0.7340683102933373,0.00045167126441555337,0.2682268871933549,0.28564086083871604,1.0301112449331373
random,CYP1A2,additive,all,0,257,0.7554556807281242,-0.04948538695042343,0.1769770552438693,0.27543995422650397,1.0275145484023758
random,CYP1A2,additive,all,1,295,0.7278475732256154,0.04164083933727938,0.2916806117774641,0.26184085264180884,1.0032006369426631
random,CYP1A2,additive,all,2,288,0.7578554189590573,0.00597442632557848,0.23473349167500576,0.2797200140353276,1.0748155706402844
random,CYP1A2,additive,all,3,288,0.7551736533237915,-0.022595015962839755,0.2267149327449775,0.31607831911892387,1.0621628518336454
random,CYP1A2,additive,all,4,284,0.6756511875635466,0.020627417192420464,0.3917457506803888,0.29074014293218103,0.9758420801363648
random,CYP1A2,additive,MW<215,pooled,22,0.5348930250026733,-0.15242914752684125,0.259175607001694,0.25650122932472597,0.650216347891422
random,CYP1A2,additive,MW<215,0,8,0.5460400432704575,0.024280967393826958,0.5952380952380953,0.2596929826596435,0.8088575880172985
random,CYP1A2,additive,MW<215,1,2,0.5732215701793759,-0.5732215701793759,,0.2634456638597573,0.14513668499999977
random,CYP1A2,additive,MW<215,2,2,0.6405266343856155,-0.6405266343856155,,0.056237329822664606,0.3427637109999999
random,CYP1A2,additive,MW<215,3,6,0.5838392114308734,0.03879429370808296,0.14285714285714288,0.17442939588157805,0.6653199484067216
random,CYP1A2,additive,MW<215,4,4,0.3671986315449831,-0.33823958446490954,0.0,0.27601786479562596,0.11905855060893801
random,CYP1A2,additive,MW>=215,pooled,1390,0.7372207248806716,0.0028713676769390427,0.26698399777025594,0.2856656713650619,1.034420348233726
random,CYP1A2,additive,MW>=215,0,249,0.7621838939797762,-0.051855390302849136,0.17019898950641274,0.2749108802721773,1.0337220988435718
random,CYP1A2,additive,MW>=215,1,293,0.7289030408232008,0.04583785237152275,0.289177824573188,0.2616827741595468,1.0047724345416247
random,CYP1A2,additive,MW>=215,2,286,0.7586758999700604,0.010495412764118297,0.2383072639812049,0.28003055744430594,1.0776012257274856
random,CYP1A2,additive,MW>=215,3,282,0.7588190669810877,-0.023901171487752997,0.22844909581892675,0.31770672596153504,1.0689387545794138
random,CYP1A2,additive,MW>=215,4,280,0.6800576526495261,0.025754088644668043,0.3887055775128327,0.2894902272842889,0.9800244742780018
random,CYP1A2,inhibitor,all,pooled,1412,0.6391413161595206,-0.0006474412193468167,0.5321761425236415,0.5593807699438702,1.0301112449331373
random,CYP1A2,inhibitor,all,0,257,0.6570678702762646,0.006404179510252352,0.4906831112568998,0.5159512921433254,1.0275145484023758
random,CYP1A2,inhibitor,all,1,295,0.6059502328838955,0.012133824494764096,0.5708251142875841,0.5507807770822785,1.0032006369426631
random,CYP1A2,inhibitor,all,2,288,0.6468577248341095,0.03505879391442664,0.5282623809925693,0.525915380590205,1.0748155706402844
random,CYP1A2,inhibitor,all,3,288,0.6462134815515165,-0.034981679080074074,0.5411442195242516,0.5712232776256496,1.0621628518336454
random,CYP1A2,inhibitor,all,4,284,0.6423988366775837,-0.021696297303174333,0.5246687115439522,0.6147326812133103,0.9758420801363648
random,CYP1A2,inhibitor,MW<215,pooled,22,0.43064118226385556,0.10546589269190589,0.34613212874082444,0.2355973166861031,0.650216347891422
random,CYP1A2,inhibitor,MW<215,0,8,0.48278316981967134,0.1671973335873042,0.7619047619047621,0.3087666455019784,0.8088575880172985
random,CYP1A2,inhibitor,MW<215,1,2,0.1480062974235925,-0.1480062974235925,,0.00232125830146801,0.14513668499999977
random,CYP1A2,inhibitor,MW<215,2,2,0.371676776235216,0.02212220080080174,,0.028913065235216084,0.3427637109999999
random,CYP1A2,inhibitor,MW<215,3,6,0.6580416651423263,0.3097772794741592,-0.14285714285714288,0.16092397239510342,0.6653199484067216
random,CYP1A2,inhibitor,MW<215,4,4,0.15605612826896942,-0.15605612826896942,0.7999999999999999,0.20479702523774243,0.11905855060893801
random,CYP1A2,inhibitor,MW>=215,pooled,1390,0.6424413182787326,-0.0023269328352083746,0.5330051443920939,0.5609436498321727,1.034420348233726
random,CYP1A2,inhibitor,MW>=215,0,249,0.6626673787246691,0.0012381343993430498,0.4852203653322969,0.5197413852096086,1.0337220988435718
random,CYP1A2,inhibitor,MW>=215,1,293,0.609076130054273,0.013226931129019091,0.5671387447868016,0.5507000048375043,1.0047724345416247
random,CYP1A2,inhibitor,MW>=215,2,286,0.6487820671320039,0.03514925960053591,0.5299945240895176,0.526621491934675,1.0776012257274856
random,CYP1A2,inhibitor,MW>=215,3,282,0.645961818070861,-0.04231697607058971,0.5559331021856115,0.5733512706427597,1.0689387545794138
random,CYP1A2,inhibitor,MW>=215,4,280,0.6493465896548496,-0.019776871146520096,0.5204913327976122,0.6160764633131154,0.9800244742780018
random,CYP1A2,inhibitor_nesso,all,pooled,1412,0.6381868428867706,-0.0004722984172990413,0.5245702554379051,0.5625811608663593,1.0301112449331373
random,CYP1A2,inhibitor_nesso,all,0,257,0.657405841224161,0.005607796052356756,0.46285545425753316,0.5181709853509158,1.0275145484023758
