split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled
chemical_cluster,50,head_lora,50,0.6239684889461448,0.620496496848054,0.5769837083843589,0.7344147232709891,138469.93230132852,221956.86511208978,0.8498308667944062,0.5037349589095418,0.43080525932171443,0.42560418950051826,21.54026296608572,0.833697761427817,0.9242898507916901,4.91586540590922,0.623859650528945
chemical_cluster,50,head_pretrained,50,0.6141268427038286,0.6112033758226831,0.5595906391247183,0.7091678565947697,136291.18197429407,221956.86511208978,0.8197434099202328,0.4364956267931418,0.5461126781804342,0.5158018035035639,27.305633909021708,0.8342616560600772,0.9203433491760873,4.715364097849528,0.6140435525860669
chemical_cluster,50,head_random,50,0.6072733661676888,0.602587226050908,0.5612189549895358,0.7060781135934765,134782.53311598694,221956.86511208978,0.7993246129334033,0.37727079118522616,0.5290446815196629,0.5258822634987155,26.452234075983142,0.8487387109189691,0.9287434995479892,4.7457162896474205,0.6072465163351483
chemical_cluster,50,morgan_knn,50,0.6739103645537406,0.6571010238385238,0.5986453204882726,1.0001743285044604,149596.19004424248,221956.86511208978,0.8841514027035948,0.4107365905183464,0.02558243263993063,0.02253906700934749,1.2791216319965315,0.8162385542815714,0.9202521862105385,4.966054793398715,0.6739876685890989
chemical_cluster,50,morgan_lightgbm,50,0.7479151514867732,0.7302690470982236,0.6309693645407481,0.9973520526312399,166039.41730785294,221956.86511208978,0.8806129839602025,0.1590179779557508,0.05328208081926277,0.052791840997088,2.6641040409631387,0.822010955667141,0.9257535601442853,4.594943080389083,0.7480706542868222
chemical_cluster,50,morgan_ridge,50,0.6772165333377744,0.6627257129145534,0.6115753635125102,0.8796970022899138,150334.37577863148,221956.86511208978,0.884268379873931,0.36656210058067423,0.027841212879648084,0.02716528799646767,1.3920606439824041,0.8270048691853961,0.9248305630890685,4.920135679404912,0.6773134757634622
chemical_cluster,50,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208978,0.9149922251561944,0.713037645175738,0.004346035978960572,0.0030311899954540422,0.2173017989480286,0.8285873991926461,0.9278792191401949,5.404040339660645,0.628051182696441
chemical_cluster,50,repr_mlp,50,1.7567459492554551,1.2920112152338912,0.7318103752190046,8.588365391071383,390272.3151138449,221956.86511208978,2.1274933392701527,-0.15713012330128673,0.2230849211206805,0.22450337649934227,11.154246056034026,0.842320157890497,0.9153415142808554,17.834687166343134,1.7583250462505613
chemical_cluster,50,repr_ridge,50,0.7096559734506355,0.6420032755965802,0.5847794841284223,1.830892555025245,157696.4245016852,221956.86511208978,0.9467491962951626,0.22805096540273348,0.018211666620409232,0.017930788999365177,0.9105833310204616,0.8409678401045443,0.9288627229845242,5.234670954990484,0.7104823021448217
chemical_cluster,50,scalar_ridge,50,0.6457972165151528,0.6393392694195545,0.5650907218327347,0.7476180600141884,143337.89449498945,221956.86511208978,0.8367790006823889,0.3365182708078288,0.009223823959328002,0.008639026498713065,0.46119119796640007,0.8366326987281043,0.9202224251049471,4.741991371673595,0.645791669577793
chemical_cluster,50,weighted_mean,50,0.6756035393028873,0.659575144002879,0.6116962939416931,0.8792342694806187,149969.5501817965,221956.86511208978,0.894748943465119,0.40179087243366624,0.003289322779819486,0.003208891997928731,0.1644661389909743,0.8351376618959391,0.9228271707705664,4.99420547145372,0.6756697978504104
chemical_cluster,100,dual_head,50,0.5960550678986958,0.5936496635571423,0.5404509985070556,0.7598261604819858,132265.22261713492,221956.86511208978,0.788860547583255,0.3985465412771827,1.531028379960044,1.4937716304921196,76.55141899800219,0.8163205875245026,0.913429463942071,4.299768544006348,0.5959050761973055
