outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
0,e2_lr0.1_wd0.0001,0.1,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7852544062748134,1.0465101509077008,0.8472508430084189,0.4242855849637132,0.3916178191422616,0.18382311926155445,-1.2410854188362506,1.2363406432146593,14;9;3;6
0,e2_lr0.1_wd0.001,0.1,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6515432712661886,0.8749993456067702,0.7029831114931078,0.637772541289429,0.6122400504610794,0.05465863029979099,-0.23660764299691117,1.0418822057692827,8;9;7;21
0,e3_floor0.1_curation0,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,False,42,2675.0,0.7187333374950373,1.0053300721258769,0.7754778849057654,0.5623934382939262,0.5510545291250696,0.3627030917016145,-0.6269003777226734,1.0567879463820076,1;17;17;13
0,e3_floor0.1_curation1,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,True,42,2675.0,0.7242023246194715,1.0074481984264556,0.7813786527518963,0.5725775687061391,0.5847134756983839,0.3668833920487734,-1.5477872653276996,1.2536017842921399,9;17;7;12
0,e3_floor0.15_curation0,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,False,42,2675.0,0.6912425035922327,0.9602685765639138,0.7458166286134902,0.5970618435458432,0.573689913963398,0.2946960048853794,-1.0386719454473592,1.1622863487946404,1;15;11;12
0,e3_floor0.15_curation1,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,True,42,2675.0,0.7063848541687582,0.979615127678779,0.7621544793642447,0.5767641034674031,0.5626058383089582,0.30516449498684606,-1.114442150969619,1.1761286690028538,1;17;17;12
0,e3_floor0.2_curation0,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,False,42,2675.0,0.6540427407844044,0.8918361135611257,0.7056799160439136,0.6261392263832212,0.6141805280204213,0.11897837111214611,-0.2686358746995099,1.0339465397127978,14;15;11;12
0,e3_floor0.2_curation1,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,True,42,2675.0,0.6882430020840369,0.9450233842695629,0.7425803141641644,0.5909941509091909,0.5696631799420182,0.22522637383291655,-0.8560109665285559,1.1397126429641822,1;15;17;12
1,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7801354782876366,1.0298265483119453,0.8296105706724966,0.4681917079669841,0.44447833348495214,0.1888609642326476,-0.4063250484042462,1.0487235937659611,14;10;13;26
1,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7801354782876366,1.0298265483119453,0.8296105706724966,0.4681917079669841,0.44447833348495214,0.1888609642326476,-0.4063250484042462,1.0487235937659611,14;10;13;26
