feature,gain
molfeat_scaffoldkeys_n_atoms_not_in_conjugated_ring,96.15334812250221
molfeat_desc2d_PEOE_VSA3,95.36354766716832
molfeat_erg_fp_154,95.1801266779512
molfeat_layered_fp_1310,94.93574351251591
rdkit_maccs_116,94.01460309373797
molfeat_layered_fp_77,93.6866927372408
molfeat_topological_fp_1965,93.60832719892497
rdkit_atompair_hashed_0600,92.89756239876151
molfeat_rdkit_fp_1999,92.77935637827905
molfeat_erg_fp_20,92.5893896227295
molfeat_rdkit_fp_1490,92.54747537160293
molfeat_avalon_fp_399,92.53969034692273
molfeat_rdkit_count_fp_787,92.45409637833946
molfeat_rdkit_fp_649,91.14399681238574
molfeat_rdkit_fp_982,91.08029285866068
molfeat_pattern_fp_2022,91.06335528304335
molfeat_erg_fp_23,90.8300035201828
molfeat_rdkit_count_fp_1774,90.78955205149832
molfeat_rdkit_count_fp_1857,89.90382105782628
molfeat_ecfp_count_fp_1568,89.8660159101477
molfeat_cats2d_LR_bins_8,89.86003341511241
rdkit_atompair_hashed_1492,89.84462205693126
molfeat_rdkit_count_fp_1268,89.45430139729869
molfeat_layered_fp_230,89.02511786458781
rdkit_atompair_hashed_0489,88.12590442640939
molfeat_ecfp_count_fp_942,87.84837920973078
rdkit_atompair_hashed_1396,87.65126533248694
molfeat_erg_fp_159,86.92003283292289
rdkit_maccs_074,86.85726321935654
molfeat_pharm2d_Desc_838,86.78658234663308
molfeat_rdkit_fp_3,86.68707882475573
rdkit_atompair_hashed_1912,86.59297607541085
molfeat_erg_fp_26,86.36178798927577
rdkit_atompair_hashed_1188,86.02182415791322
rdkit_atompair_hashed_0625,85.72104615709395
molfeat_rdkit_count_fp_767,85.6986774526944
molfeat_erg_fp_92,85.66130533384566
molfeat_layered_fp_1277,85.54219905028586
molfeat_cats2d_AA_bins_3,85.41580990589281
molfeat_rdkit_fp_309,85.39065024132142
molfeat_layered_fp_1274,85.2848271621624
molfeat_erg_fp_151,85.26096256810123
molfeat_cats2d_DR_bins_1,85.0504760744283
molfeat_rdkit_count_fp_497,84.86804004888981
molfeat_rdkit_count_fp_2037,84.67509706891724
molfeat_topological_count_fp_1101,84.46116199811222
molfeat_rdkit_count_fp_1839,84.40063086923911
molfeat_rdkit_count_fp_1344,84.07708459823625
molfeat_layered_fp_695,83.61106110811234
molfeat_rdkit_count_fp_889,82.84057935271994
molfeat_layered_fp_349,82.55852785573806
molfeat_rdkit_count_fp_1508,82.19352805535308
molfeat_rdkit_count_fp_1250,81.3769098731107
molfeat_rdkit_count_fp_812,81.28578154284041
molfeat_rdkit_count_fp_608,81.25564016029239
molfeat_erg_fp_65,81.2271375621087
molfeat_layered_fp_1754,80.90894290667492
molfeat_rdkit_fp_1842,80.82962662479841
molfeat_rdkit_fp_1453,80.82412579674273
molfeat_pharm2d_Desc_807,80.37133970432915
molfeat_ecfp_count_fp_1917,79.7964812322869
molfeat_rdkit_fp_1929,79.17221672884189
molfeat_erg_fp_95,78.96002910810057
molfeat_rdkit_count_fp_1256,78.84462356752483
molfeat_layered_fp_660,78.4908516519121
molfeat_cats2d_RR_bins_8,78.32935275814961
molfeat_rdkit_count_fp_1488,78.20213027447463
rdkit_atompair_hashed_0340,78.10838801391655
rdkit_atompair_hashed_0877,78.04245121851564
molfeat_rdkit_count_fp_645,77.77423563836491
molfeat_rdkit_count_fp_619,77.35287523057778
molfeat_topological_count_fp_497,76.7117995625129
molfeat_layered_fp_465,76.38198065431789
rdkit_atompair_hashed_0273,75.87994112968445
molfeat_layered_fp_409,75.65854782755487
molfeat_rdkit_count_fp_1757,75.38735907268419
molfeat_pattern_fp_1813,75.02353868559003
molfeat_rdkit_count_fp_1300,74.16788626222406
molfeat_rdkit_fp_459,73.7277535840869
molfeat_rdkit_count_fp_1267,73.70772386154859
molfeat_layered_fp_1862,73.60078760227188
molfeat_layered_fp_650,73.16857364159077
molfeat_desc2d_Alerts,73.03121667110827
molfeat_erg_fp_21,72.61267159382696
rdkit_atompair_hashed_1624,72.55312071237131
molfeat_rdkit_count_fp_810,72.51056429027813
molfeat_rdkit_count_fp_1400,72.48077575718052
molfeat_rdkit_count_fp_855,72.24617559583858
molfeat_rdkit_fp_1837,71.88732616312919
rdkit_atompair_hashed_0481,71.68551609832794
molfeat_rdkit_fp_768,71.30236380996648
molfeat_rdkit_count_fp_1194,71.21345857005217
molfeat_rdkit_fp_252,70.92264096555883
molfeat_rdkit_count_fp_1598,70.90504781384952
molfeat_rdkit_count_fp_2047,70.70722725511295
molfeat_cats2d_AR_bins_6,70.6559504737379
molfeat_desc2d_NumHeterocycles,70.5602928945329
molfeat_rdkit_fp_1098,70.52080520160962
molfeat_cats2d_AR_bins_5,70.06893803776475
molfeat_rdkit_count_fp_633,70.0361223149608
molfeat_rdkit_count_fp_2041,69.8530683530029
molfeat_erg_fp_153,69.83476860407973
molfeat_erg_fp_150,69.82134318464087
molfeat_rdkit_count_fp_1134,69.58110885785428
molfeat_pattern_fp_266,69.34793651464861
molfeat_layered_fp_1542,69.33974265373544
molfeat_erg_fp_142,69.12118285621982
molfeat_rdkit_count_fp_609,69.09321267823398
molfeat_rdkit_count_fp_1659,69.08109389712918
molfeat_rdkit_fp_782,69.0653050951194
molfeat_rdkit_fp_1550,69.0409879480023
molfeat_erg_fp_18,68.85268631690997
molfeat_rdkit_count_fp_1479,68.6401198053849
molfeat_rdkit_count_fp_456,68.4853262770921
molfeat_rdkit_count_fp_206,68.44605920844478
molfeat_rdkit_fp_769,68.35129227787256
molfeat_rdkit_count_fp_1966,68.20041955477208
molfeat_rdkit_count_fp_671,67.92191157523193
molfeat_rdkit_fp_1715,67.42310056186398
molfeat_rdkit_fp_1741,67.36486788737821
molfeat_rdkit_count_fp_1890,67.17166030492517
molfeat_rdkit_fp_1412,66.75633313916623
molfeat_rdkit_count_fp_1732,66.50175589756108
molfeat_erg_fp_288,66.39933280211116
molfeat_layered_fp_1906,66.14139371328056
molfeat_avalon_fp_190,65.60872147951741
molfeat_rdkit_count_fp_1010,65.58886227928451
molfeat_erg_fp_91,65.4676636402146
molfeat_rdkit_fp_1125,65.08534938275697
molfeat_rdkit_fp_1755,65.02771133061033
molfeat_rdkit_fp_1582,64.84152728037444
molfeat_rdkit_count_fp_909,64.50317971651675
molfeat_rdkit_count_fp_1131,63.85564002054743
molfeat_rdkit_count_fp_618,63.84841794704844
molfeat_rdkit_count_fp_1592,63.61251751456875
molfeat_rdkit_fp_657,63.5461932646751
molfeat_rdkit_count_fp_116,63.4200099813228
molfeat_rdkit_count_fp_977,63.225975420890606
molfeat_layered_fp_1336,63.154526799719314
molfeat_rdkit_count_fp_1752,62.92225762013695
molfeat_layered_fp_888,62.913172245025635
molfeat_layered_fp_259,62.90835727453232
molfeat_rdkit_fp_1508,62.83238287803833
molfeat_rdkit_count_fp_1620,62.613899117015535
molfeat_ecfp_count_fp_1077,62.51551814740524
molfeat_rdkit_count_fp_579,62.460305313766
rdkit_atompair_hashed_0876,62.4458211774705
molfeat_topological_count_fp_94,62.368815194349736
molfeat_rdkit_count_fp_1234,62.245107008214106
molfeat_rdkit_count_fp_549,62.21427181934705
molfeat_erg_fp_17,62.206560726932366
molfeat_cats2d_AR_bins_4,62.136771926278016
molfeat_secfp_fp_186,62.11404097932391
molfeat_rdkit_fp_201,61.932966528879476
molfeat_desc2d_NumHeteroatoms,61.63903977291193
molfeat_pattern_fp_302,61.46847991943359
molfeat_rdkit_count_fp_1125,61.252001205703706
molfeat_erg_fp_158,61.17032983909594
molfeat_rdkit_count_fp_830,61.06929091560305
molfeat_rdkit_fp_638,60.94924696804956
molfeat_avalon_fp_383,60.53697835968342
molfeat_rdkit_count_fp_1216,60.30964190732921
molfeat_rdkit_count_fp_390,60.297464073754966
molfeat_layered_fp_1920,60.26640290473588
rdkit_atompair_hashed_0892,60.24712440669536
molfeat_rdkit_fp_1256,60.143940356723036
molfeat_topological_fp_1892,60.1293826397392
molfeat_rdkit_count_fp_1600,60.124006052617915
rdkit_atompair_hashed_1042,60.10581890590547
molfeat_rdkit_count_fp_948,59.96824296322884
molfeat_rdkit_count_fp_562,59.885408570012075
molfeat_rdkit_count_fp_1881,59.79368097470724
molfeat_avalon_fp_432,59.62899317207048
molfeat_layered_fp_564,59.522624406649264
molfeat_layered_fp_67,59.438427511719055
molfeat_rdkit_count_fp_900,59.32455103294924
molfeat_rdkit_count_fp_187,59.32434568991884
molfeat_rdkit_count_fp_1519,59.305774642998585
molfeat_pharm2d_Desc_6,59.270894168911035
molfeat_rdkit_count_fp_321,59.20614015999017
molfeat_rdkit_fp_1167,58.88880162537098
molfeat_ecfp_count_fp_652,58.88630074320245
molfeat_layered_fp_1175,58.86750939409249
molfeat_desc2d_SlogP_VSA10,58.842467433263664
molfeat_avalon_fp_303,58.57313711838797
molfeat_desc2d_EState_VSA10,58.57310525061912
molfeat_cats2d_DR_bins_5,58.376421198382744
molfeat_erg_fp_306,58.33704402468866
molfeat_layered_fp_565,58.310584906162696
molfeat_pharm2d_Desc_901,57.96490035188617
molfeat_avalon_fp_222,57.95209356113337
molfeat_rdkit_count_fp_1546,57.91466786529054
molfeat_rdkit_count_fp_71,57.90551629435504
molfeat_rdkit_fp_570,57.87704835478216
molfeat_pattern_fp_7,57.8240984436823
molfeat_rdkit_fp_129,57.80787019219715
molfeat_rdkit_count_fp_1097,57.79392162258155
molfeat_rdkit_count_fp_1662,57.756816750694995
molfeat_rdkit_fp_673,57.731932452786715
rdkit_atompair_hashed_0846,57.62973165512085
molfeat_rdkit_count_fp_180,57.542020227765896
molfeat_rdkit_count_fp_1889,57.43458287265385
molfeat_rdkit_count_fp_1999,57.21707646981813
molfeat_layered_fp_1467,57.11933898925781
molfeat_pattern_fp_902,56.915533390641215
molfeat_cats2d_AR_bins_8,56.87017580009124
molfeat_rdkit_count_fp_801,56.83046316099353
molfeat_rdkit_count_fp_972,56.783871789561815
molfeat_rdkit_fp_257,56.64421837377595
molfeat_rdkit_fp_354,56.5848015164258
molfeat_avalon_fp_233,56.56789517633151
molfeat_erg_fp_94,56.30284715553862
molfeat_rdkit_count_fp_201,56.14055870724842
rdkit_atompair_hashed_0460,55.999857132002944
molfeat_pattern_fp_1978,55.94282384393737
molfeat_rdkit_count_fp_1500,55.92834391404176
molfeat_rdkit_fp_30,55.90113474437967
molfeat_rdkit_count_fp_92,55.773563376616224
molfeat_rdkit_count_fp_1185,55.77221418248955
molfeat_layered_fp_1375,55.678955481853336
molfeat_secfp_fp_585,55.36953028855496
molfeat_rdkit_fp_340,55.31233003608649
molfeat_pattern_fp_1284,55.24008939843625
molfeat_rdkit_count_fp_1443,55.05771373304888
rdkit_atompair_hashed_1120,55.00240307669155
molfeat_rdkit_fp_1622,54.99623707071878
molfeat_cats2d_AR_bins_2,54.86702682551113
molfeat_pharm2d_Desc_80,54.84125467443373
rdkit_atompair_hashed_0480,54.81068059555255
molfeat_rdkit_fp_1035,54.647463303740366
molfeat_avalon_fp_452,54.60263536544517
molfeat_rdkit_fp_812,54.58673082224559
molfeat_rdkit_count_fp_1233,54.55280433290754
rdkit_atompair_hashed_0072,54.436783736932554
molfeat_layered_fp_1954,54.08030102197081
molfeat_rdkit_count_fp_1408,53.99035159163759
molfeat_scaffoldkeys_n_atom_exocyclic,53.9754757896997
molfeat_rdkit_count_fp_1223,53.84443088077533
molfeat_layered_fp_1668,53.749099749920425
molfeat_layered_fp_1864,53.64874221028295
molfeat_erg_fp_139,53.64108744917903
molfeat_rdkit_fp_1087,53.64036695534596
molfeat_rdkit_fp_371,53.603042733110485
molfeat_rdkit_count_fp_253,53.58261702667223
molfeat_erg_fp_93,53.576735678949625
molfeat_pharm2d_Desc_82,53.32725399911287
molfeat_rdkit_count_fp_1550,53.22754638387123
molfeat_erg_fp_137,53.17809527625504
molfeat_secfp_fp_1674,53.159666299819946
rdkit_atompair_hashed_1217,53.10956102265045
molfeat_rdkit_fp_522,52.48349233046174
molfeat_rdkit_count_fp_2015,52.32696097132284
molfeat_rdkit_count_fp_699,52.27681540816557
molfeat_layered_fp_1716,52.26622678411659
molfeat_scaffoldkeys_n_simple_rings_no_heteroatoms,52.18804214366246
molfeat_rdkit_count_fp_758,52.09957673390163
molfeat_erg_fp_138,52.07585974437825
molfeat_rdkit_count_fp_109,52.020438747410665
rdkit_atompair_hashed_1192,51.91721521355212
molfeat_rdkit_count_fp_301,51.818790565431115
molfeat_secfp_fp_1722,51.629586042277516
molfeat_rdkit_count_fp_1105,51.21544272997998
molfeat_rdkit_count_fp_622,51.13507783093955
molfeat_rdkit_count_fp_1584,51.114757555909456
molfeat_rdkit_count_fp_1680,51.06191495120292
molfeat_cats2d_LR_bins_4,51.014629876206165
molfeat_scaffoldkeys_n_atom_in_rings,50.963493079209
