budget,fold,method,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
500,1,native_continuous,669,4503.669508077221,557.6965945340913,0.5892485393151773,0.8761619139166775,0.39009890978081785,0.6538977656820522,0.270804573798771,1.2407379798491094,4.3768887208024925,5.030786486484545,1.1356423939932732,0.36091272691344894,0.3178049083253815,1.52,0.4110126495361328,0.27040305890535055,3.9850220680236816,7.441765785217285,1.71,7.54855421686747,1.1826268068293135,0.5547814590848928,0.6953246316570612,0.7144992526158446,2.241999130249024,0.8460388639760837,3.7659454345703125
500,1,repr_ridge_stable,669,4503.669508077221,557.6965945340913,0.5174558444384023,0.6636605230701392,0.6116230162636123,0.25031001205551345,-0.03601661170460756,0.9383229135507346,4.3768887208024925,4.627198732858005,1.1356423939932732,0.6161819202472626,0.5425844645342753,1.52,0.6876908971685589,0.45242822182142034,2.207186629176385,6.765703559937759,1.71,7.54855421686747,1.1214294427681883,0.5153001728505155,0.5571113429548727,0.7563527653213752,1.78083168240784,0.8355754857997011,2.222370840654523
100,2,descriptor_lightgbm_rdkit_mordred,669,4365.681885100077,544.0824766056642,0.5827613419290127,0.7568507861129212,0.5831019378206571,0.2931822178392683,-0.06316925078318714,1.0149494408725734,4.213916292974589,4.507098510813857,1.207966604405046,0.5833224360478363,0.4828961611361245,1.7800000000000002,0.9325949207233242,0.5239297307434405,3.3381863295064655,5.626632365862242,1.62,6.87,1.256787599691546,0.5804044711950868,0.6237761842562799,0.7144992526158446,1.946297432555257,0.8325859491778774,2.6673657650085794
100,2,native_continuous,669,4365.681885100077,544.0824766056642,0.6407163955209085,0.9877301069296708,0.4160595298980711,0.7864688360673251,0.3409324735597251,1.3650323273129763,4.213916292974589,5.000385129041914,1.207966604405046,0.3499723426416288,0.28972021359315553,1.7800000000000002,0.4201512336730957,0.23604001891746945,3.9244961738586426,6.375439167022705,1.62,6.87,1.3752538024725245,0.590836866824131,0.7612612290761889,0.8460388639760837,4.3624745559692375,0.8714499252615845,4.677826194763184
100,2,repr_ridge_stable,669,4365.681885100077,544.0824766056642,0.6194564489059294,0.8253122589272499,0.4829620706660865,0.31400709366191343,-0.044549117833590605,1.3217875989121675,4.213916292974589,4.527923386636502,1.207966604405046,1.0312849184044168,0.8537362826452893,1.7800000000000002,0.8991566195467069,0.5051441682846667,1.0408952150274495,13.332896587754341,1.62,6.87,0.4109872894152127,0.6105158377522936,0.669331003113123,0.8385650224215246,2.7328525318267967,0.8729446935724963,3.2311724103669444
500,2,descriptor_lightgbm_rdkit_mordred,669,4365.681885100077,544.0824766056642,0.4798752959071767,0.6082422261199333,0.706905393830606,0.23877685331511933,-0.03606378334674065,0.8505867925589841,4.213916292974589,4.452693146289708,1.207966604405046,0.7394834060174748,0.6121720611487342,1.7800000000000002,0.9309018981609682,0.522978594472454,2.5113110115793567,5.484590533956595,1.62,6.87,1.22480618958319,0.488146821673425,0.5108475594948692,0.7668161434977578,1.6255536602521214,0.8639760837070254,2.243324707699262
500,2,native_continuous,669,4365.681885100077,544.0824766056642,0.6407163955209085,0.9877301069296708,0.4160595298980711,0.7864688360673251,0.3409324735597251,1.3650323273129763,4.213916292974589,5.000385129041914,1.207966604405046,0.3499723426416288,0.28972021359315553,1.7800000000000002,0.4201512336730957,0.23604001891746945,3.9244961738586426,6.375439167022705,1.62,6.87,1.3752538024725245,0.590836866824131,0.7612612290761889,0.7100149476831091,2.498225860595703,0.8460388639760837,4.359243927001954
500,2,repr_ridge_stable,669,4365.681885100077,544.0824766056642,0.5350005727307676,0.6947379353179873,0.6402582942597682,0.26102344097679053,0.011270209934704751,0.981322151841581,4.213916292974589,4.474939733951379,1.207966604405046,0.9444119390555082,0.7818195764779895,1.7800000000000002,0.8528288612709787,0.47911733779268456,-1.4198932882013615,5.925889167671205,1.62,6.87,0.8163553016026247,0.5293062095516664,0.584295226213237,0.7458893871449925,1.8224429704687934,0.8490284005979073,2.6253657322585737
100,3,descriptor_lightgbm_rdkit_mordred,668,4443.668686479243,558.6124616867144,0.6453480610735769,0.71674599965534,0.5432107573073564,0.05851102719638396,-0.19325858311213714,0.9329000514814565,4.2685104790419155,4.3270215062383,1.1251993123021182,0.7387886796267336,0.6565847237456961,1.6624999999999996,1.0666249567720736,0.641578921366661,2.322685968975854,6.239379764835656,1.62,6.494999999999999,0.8656908703002553,0.658157089345063,0.6566732032410245,0.7200598802395209,1.895292621683309,0.8502994011976048,2.6522583238978505
100,3,native_continuous,668,4443.668686479243,558.6124616867144,0.6576197209968855,0.9311966386669411,0.38650165630565103,0.7316728619901007,0.3676455225985957,1.2704339476228612,4.2685104790419155,5.000183341032017,1.1251993123021182,0.31480890903409875,0.27978057362122877,1.6624999999999996,0.40441107749938965,0.24325478345827953,4.0649189949035645,6.089936256408691,1.62,6.494999999999999,1.4455472351929146,0.6273788340736672,0.7666862787004014,0.7679640718562875,3.125679779052735,0.8488023952095808,3.855515899658203
100,3,repr_ridge_stable,668,4443.668686479243,558.6124616867144,0.6121662777229675,0.7336520536180996,0.5191202844390197,0.2241640293372615,-0.023338032863345935,0.9751616675995443,4.2685104790419155,4.492674508379178,1.1251993123021182,0.7949224109131584,0.7064725353295632,1.6624999999999996,0.8168361896898446,0.4913300389111848,-0.409870331358249,6.264833461929069,1.62,6.494999999999999,0.7891136086159595,0.6177145510537735,0.6504280669658175,0.8218562874251497,2.436423145550524,0.8697604790419161,2.870257898096342
500,3,descriptor_lightgbm_rdkit_mordred,668,4443.668686479243,558.6124616867144,0.5342879018175881,0.6201510876717021,0.6273098650423571,0.15052242954583464,-0.09399716598935118,0.8402319909513712,4.2685104790419155,4.419032908587751,1.1251993123021182,0.6912055829031784,0.6142961298909755,1.6624999999999996,0.9347956068102041,0.5622830717655365,2.3718266453835617,5.502962338764282,1.62,6.494999999999999,1.109861022748369,0.5467522476583656,0.5532441364168809,0.75,1.7097958815016059,0.8517964071856288,2.2929891699568934
500,3,native_continuous,668,4443.668686479243,558.6124616867144,0.6576197209968855,0.9311966386669411,0.38650165630565103,0.7316728619901007,0.3676455225985957,1.2704339476228612,4.2685104790419155,5.000183341032017,1.1251993123021182,0.31480890903409875,0.27978057362122877,1.6624999999999996,0.40441107749938965,0.24325478345827953,4.0649189949035645,6.089936256408691,1.62,6.494999999999999,1.4455472351929146,0.6273788340736672,0.7666862787004014,0.7290419161676647,2.6245453643798835,0.9041916167664671,4.677826194763184
500,3,repr_ridge_stable,668,4443.668686479243,558.6124616867144,0.5537973062407804,0.6784795437326543,0.5981693558407312,0.2401188572385798,0.001640397125040382,0.908385484845166,4.2685104790419155,4.508629336280496,1.1251993123021182,0.7286923142212516,0.6476117664259612,1.6624999999999996,0.772174416013657,0.4644658141435532,0.2274558616566944,5.6694895155389124,1.62,6.494999999999999,0.969466498529238,0.5581042785346078,0.5959197785897988,0.7709580838323353,1.950551126958885,0.8832335329341318,2.733324597743582
100,4,descriptor_lightgbm_rdkit_mordred,669,4385.667432154742,554.2784719107543,0.5925839572340841,0.8046301041487611,0.4432996258288638,0.4345996234799371,0.0646368324974608,1.0902586442128592,4.252855007473841,4.687454630953779,1.1265653762605727,0.3170080968054114,0.2813934312961594,1.5100000000000002,0.4005799454965979,0.26528473211695225,3.8890316708868635,5.250774504165878,1.66,6.63,1.8401900151588575,0.5863109411703723,0.6558656618225422,0.8490284005979073,3.3777242946648007,0.9237668161434978,4.199657901781533
100,4,native_continuous,669,4385.667432154742,554.2784719107543,0.6235658460253097,0.9206016473812907,0.3668138324320513,0.7328563710713066,0.3462559492662174,1.283479473112111,4.252855007473841,4.985711378545148,1.1265653762605727,0.3443695906889868,0.30568096441243253,1.5100000000000002,0.39180755615234375,0.2594752027498965,4.012372016906738,6.574303150177002,1.66,6.63,1.1699885893832354,0.5851427357860574,0.732141627315577,0.8310911808669657,3.682072906494141,0.9417040358744395,5.3939334106445305
100,4,repr_ridge_stable,669,4385.667432154742,554.2784719107543,0.5746921734208792,0.7243116244390216,0.4929377824239169,0.28130665129776783,-0.03216310991195682,1.0126044697103174,4.252855007473841,4.534161658771609,1.1265653762605727,0.6140763656303642,0.5450871991723002,1.5100000000000002,0.697855165638253,0.46215573883328004,1.7311732619797047,6.810252390340449,1.66,6.63,0.9281674838235449,0.5694134169105866,0.60961217975324,0.7518684603886397,1.9668115687483907,0.9491778774289985,4.68541132592913
500,4,descriptor_lightgbm_rdkit_mordred,669,4385.667432154742,554.2784719107543,0.4987737263268395,0.6103076605325771,0.6654666204731364,0.21728655310412195,-0.04768503823110515,0.831837177074366,4.252855007473841,4.4701415605779635,1.1265653762605727,0.6259316571559435,0.5556105933537642,1.5100000000000002,0.779328813153465,0.5161117967903741,2.6587196765358514,5.550244604395182,1.66,6.63,1.2968672039246254,0.50340897477914,0.5231358934755643,0.7623318385650224,1.7327550857187684,0.9073243647234679,2.6588242913564635
500,4,native_continuous,669,4385.667432154742,554.2784719107543,0.6235658460253097,0.9206016473812907,0.3668138324320513,0.7328563710713066,0.3462559492662174,1.283479473112111,4.252855007473841,4.985711378545148,1.1265653762605727,0.3443695906889868,0.30568096441243253,1.5100000000000002,0.39180755615234375,0.2594752027498965,4.012372016906738,6.574303150177002,1.66,6.63,1.1699885893832354,0.5851427357860574,0.732141627315577,0.7952167414050823,3.2745655441284174,0.890881913303438,4.57247657775879
500,4,repr_ridge_stable,669,4385.667432154742,554.2784719107543,0.538187047563338,0.678014303050829,0.5841641627780835,0.27521882240767476,-0.00965526901648168,0.9367798330386464,4.252855007473841,4.528073829881516,1.1265653762605727,0.6504544934554528,0.5773783813723419,1.5100000000000002,0.8004601455596596,0.5301060566620261,1.8684266056493657,6.012147038215524,1.66,6.63,1.0522906874956988,0.533893623989582,0.5733221911400748,0.8071748878923767,2.137993911208072,0.8893871449925261,2.8313523261103164
