task,budget,fold,method,epoch,weighted_huber
fold0__draw0__n500__head_only__seed42,500,0,head_only,28,0.38220914873000256
fold0__draw0__n500__head_only__seed42,500,0,head_only,29,0.38155315456985583
fold0__draw0__n500__head_only__seed42,500,0,head_only,30,0.38081744761112
fold0__draw0__n500__head_only__seed42,500,0,head_only,31,0.38004463302971114
fold0__draw0__n500__head_only__seed42,500,0,head_only,32,0.379286013261499
fold0__draw0__n500__head_only__seed42,500,0,head_only,33,0.37856873289707116
fold0__draw0__n500__head_only__seed42,500,0,head_only,34,0.3779234841485657
fold0__draw0__n500__head_only__seed42,500,0,head_only,35,0.37733109904744566
fold0__draw0__n500__head_only__seed42,500,0,head_only,36,0.37675949564981437
fold0__draw0__n500__head_only__seed42,500,0,head_only,37,0.37615091579915294
fold0__draw0__n500__head_only__seed42,500,0,head_only,38,0.3754885280225333
fold0__draw0__n500__head_only__seed42,500,0,head_only,39,0.3747735096757907
fold0__draw0__n500__head_only__seed42,500,0,head_only,40,0.3740324238280337
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,1,0.42300623937783755
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,2,0.41130672150743486
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,3,0.40383209075984894
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,4,0.4003694728332352
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,5,0.39987930834500107
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,6,0.40056011550011394
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,7,0.4007435713354148
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,8,0.3998377669180879
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,9,0.39799917274715413
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,10,0.3957115079958995
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,11,0.39342968273094137
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,12,0.39147787728623484
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,13,0.39001785138902
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,14,0.3890343709477486
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,15,0.38836220167571156
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,16,0.38777579009923935
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,17,0.387078344816959
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,18,0.3861489942919681
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,19,0.38496603307469
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,20,0.3835847740422653
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,21,0.3821158323190894
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,22,0.38066344298251936
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,23,0.3793077039940691
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,24,0.37805384341566395
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,25,0.37686726964597694
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,26,0.37567361996378423
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,27,0.37438200980125463
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,28,0.37295599260158363
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,29,0.3714163786226597
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,30,0.3698160820251104
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,31,0.3682281478836984
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,32,0.366673617509361
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,33,0.3651744415552045
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,34,0.3636793658514189
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,35,0.36214707209355623
