budget,method,similarity_lower,similarity_upper,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
100,native_continuous,0.2,0.3,910,6038.964231960527,754.1047951083781,0.6499983392809507,0.9656178714626439,0.2876613602104444,0.7841725110064496,0.38492191171379614,1.353099226659467,4.302983516483517,5.087156027489966,1.1406661706718169,0.36274440198811314,0.3180110108590912,1.5074999999999994,0.4499366283416748,0.298465425102272,3.9850220680236816,6.7233123779296875,1.62,6.87,0.8236284260075363,0.6124459292894262,0.7641278380600388,0.7791208791208791,3.3419026794433595,0.8824175824175824,4.592814356667654
100,native_continuous,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.6132566235876256,0.8845204211294725,0.4268131547356646,0.67492436689232,0.30913985353196,1.22346710857362,4.30232334474601,4.97724771163833,1.1218298007550147,0.32949088249661895,0.2937084415789853,1.5200000000000005,0.39204084873199463,0.2579216110078911,3.730055809020996,7.441765785217285,1.61,7.54855421686747,1.5001140054421396,0.5745471692760452,0.7160941444002606,0.8131731565865783,3.3499695481756255,0.899751449875725,4.583856304993586
100,repr_ridge_stable,0.0,0.2,20,93.22055313714478,12.606483922832012,1.0299656555923624,1.5299419220981845,0.4872180451127819,0.7742286875085194,0.01711029104992637,2.2665499743046915,3.2940000000000005,4.068228687508518,1.5569341668805396,1.8809499081965124,1.2081113949507372,2.0825,1.5081309816879744,0.7241925482295195,-0.409870331358249,9.900000944790591,1.78,6.69,0.20127315979445018,0.9773830650962587,1.1580811764813712,0.55,2.493101019090095,0.7,3.6798977327156486
100,repr_ridge_stable,0.2,0.3,910,6038.964231960527,754.1047951083781,0.6142614501949949,0.7849509423778274,0.422321249688184,0.26490234825094283,-0.06645940800551978,1.1442726958706615,4.302983516483517,4.56788586473446,1.1406661706718169,0.7412853551471708,0.6498705530212899,1.5074999999999994,0.6490809519186476,0.43056779563426056,0.0291366328756828,13.332896587754341,1.62,6.87,0.5563531539496852,0.6168321057030312,0.6547976325233063,0.7978021978021979,2.458561183818318,0.9010989010989011,3.571497513693589
100,repr_ridge_stable,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.6178578207604822,0.7528735862250081,0.4713110706176696,0.22821219211963903,-0.07455537528425765,1.0913258407664808,4.30232334474601,4.530535536865648,1.1218298007550147,0.7495063628094532,0.6681105835350601,1.5200000000000005,0.6083884258303964,0.4002555433094712,-6.602363373766557,12.015931366887123,1.61,7.54855421686747,0.6064430191935025,0.6267473286517771,0.6511711940106173,0.8082021541010771,2.4603795570155316,0.8972659486329743,3.5598175410669857
500,descriptor_lightgbm_rdkit_mordred,0.0,0.2,20,93.22055313714478,12.606483922832012,1.3401470226374557,1.3053860950467253,0.4919142882662163,0.6348510107581452,-0.09169537333850294,1.5608467895786158,3.2940000000000005,3.928851010758146,1.5569341668805396,0.7695023009545798,0.49424202854790467,2.0825,1.2337623899548404,0.5924429243480627,2.43587621199932,5.370855270601509,1.78,6.69,0.8300243214862058,1.4589076353263377,1.2553415986217027,0.4,1.75012726128672,0.55,2.4613627866563474
500,descriptor_lightgbm_rdkit_mordred,0.2,0.3,910,6038.964231960527,754.1047951083781,0.504473324510358,0.6217290744934961,0.6192132022668059,0.1856729780098083,-0.08254375598207973,0.8756306740922963,4.302983516483517,4.488656494493324,1.1406661706718169,0.6770356456556963,0.5935440736854178,1.5074999999999994,0.7484333894140267,0.4964732268086415,2.349774244964596,5.571637336510161,1.62,6.87,1.1205201840242367,0.5097397837078034,0.5276167662282178,0.7670329670329671,1.7260132390206753,0.8681318681318682,2.3929788968314263
500,descriptor_lightgbm_rdkit_mordred,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.49425553125382626,0.5854598577283151,0.6729282000296681,0.1598199046159344,-0.07797937270617665,0.8019963393517724,4.30232334474601,4.462143249361944,1.1218298007550147,0.6859774521484613,0.6114808607212825,1.5200000000000005,0.8637884819561084,0.5682818960237553,2.264636551145392,5.604191099975965,1.61,7.54855421686747,1.1809328011162694,0.5041181613599282,0.5151367650951375,0.7862468931234465,1.7248169128937398,0.8852526926263463,2.3907737293359763
500,head_only,0.0,0.2,20,93.22055313714478,12.606483922832012,1.1902242840978454,1.4988308277130127,0.7819548872180451,1.2739726600646974,0.7078024144968205,1.703921312031159,3.2940000000000005,4.567972660064697,1.5569341668805396,0.938920143273844,0.6030570612725755,2.0825,0.9668581485748291,0.4642776223648639,2.2777528762817383,5.720246315002441,1.78,6.69,1.148672911775356,1.1662927112393968,1.2987464451286466,0.45,2.4111410522460943,0.7,3.836369663238526
500,head_only,0.2,0.3,910,6038.964231960527,754.1047951083781,0.580323941623541,0.8219098568067446,0.3934540343746315,0.5141385554324139,0.1451614511344527,1.1608847833361753,4.302983516483517,4.8171220719159304,1.1406661706718169,0.4219249306412141,0.36989343726457097,1.5074999999999994,0.4149622917175293,0.27526520180267294,1.0930500030517578,5.7798848152160645,1.62,6.87,1.1117388361069644,0.5676689227819238,0.656140180226435,0.7549450549450549,2.3251231305049016,0.8703296703296703,3.81195077418233
