dataset,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
retrospective_lockbox_790,mae,bias,-0.06897993779886624,-0.12331446458299827,-0.012046153027497656,2000,735
retrospective_lockbox_790,huber_0.25,mae,0.6057724582535304,0.5672231423395907,0.6444197594152562,2000,735
retrospective_lockbox_790,huber_0.25,rmse,0.8065442695596522,0.7501298812318238,0.8597374439829144,2000,735
retrospective_lockbox_790,huber_0.25,rae,0.7198448576000429,0.6672826380338425,0.7826588302012544,2000,735
retrospective_lockbox_790,huber_0.25,pearson,0.6535823715208846,0.5949769943151222,0.7048530075281512,2000,735
retrospective_lockbox_790,huber_0.25,spearman,0.5888603621097742,0.5325448676522714,0.6420101379841244,2000,735
retrospective_lockbox_790,huber_0.25,bias,-0.07284522577680114,-0.12800871710222042,-0.015329823103557221,2000,735
retrospective_lockbox_790,huber_0.5,mae,0.6014697666248691,0.5631097131927032,0.6400698023362581,2000,735
retrospective_lockbox_790,huber_0.5,rmse,0.8043501990786108,0.7476113857966233,0.8577318726667273,2000,735
retrospective_lockbox_790,huber_0.5,rae,0.714731930459611,0.6622218312237187,0.7774384631903668,2000,735
retrospective_lockbox_790,huber_0.5,pearson,0.6544999414853008,0.596368661239027,0.7059176008373289,2000,735
retrospective_lockbox_790,huber_0.5,spearman,0.5912643411061244,0.5349690779874554,0.6443241625202957,2000,735
retrospective_lockbox_790,huber_0.5,bias,-0.055101343227338194,-0.10992856071275628,0.0028913631951769454,2000,735
retrospective_lockbox_790,huber_1,mae,0.5747659212305576,0.5325537212022519,0.6138759865051299,2000,735
retrospective_lockbox_790,huber_1,rmse,0.8011516449583551,0.7393639665924412,0.8576177262735968,2000,735
retrospective_lockbox_790,huber_1,rae,0.6829995109292458,0.6359688100388667,0.735757467483891,2000,735
retrospective_lockbox_790,huber_1,pearson,0.6703948889143326,0.6135741499095558,0.7194115385660957,2000,735
retrospective_lockbox_790,huber_1,spearman,0.6083765864545654,0.5520755951251245,0.6595504336647935,2000,735
retrospective_lockbox_790,huber_1,bias,0.11516240278879801,0.05922399493369435,0.17133596220165073,2000,735
retrospective_lockbox_790,huber_2,mae,0.5860933391313513,0.5472776264490041,0.6241516879541862,2000,735
retrospective_lockbox_790,huber_2,rmse,0.7910916707244747,0.7332225453067529,0.8444736443457701,2000,735
retrospective_lockbox_790,huber_2,rae,0.6964599834460737,0.6474041279980305,0.753071396310126,2000,735
retrospective_lockbox_790,huber_2,pearson,0.6706151625899092,0.613784876840152,0.7202117214833907,2000,735
retrospective_lockbox_790,huber_2,spearman,0.6080321855737434,0.5515239594718245,0.6598826578264307,2000,735
retrospective_lockbox_790,huber_2,bias,0.005846315416102683,-0.04923048196360979,0.06140303190045057,2000,735
retrospective_lockbox_790,global_selector,mae,0.5747659212305576,0.5325537212022519,0.6138759865051299,2000,735
retrospective_lockbox_790,global_selector,rmse,0.8011516449583551,0.7393639665924412,0.8576177262735968,2000,735
retrospective_lockbox_790,global_selector,rae,0.6829995109292458,0.6359688100388667,0.735757467483891,2000,735
retrospective_lockbox_790,global_selector,pearson,0.6703948889143326,0.6135741499095558,0.7194115385660957,2000,735
retrospective_lockbox_790,global_selector,spearman,0.6083765864545654,0.5520755951251245,0.6595504336647935,2000,735
retrospective_lockbox_790,global_selector,bias,0.11516240278879801,0.05922399493369435,0.17133596220165073,2000,735
retrospective_lockbox_790,published_historical_ft,mae,0.5968595563291139,0.55681303005174,0.6362743742418469,2000,735
retrospective_lockbox_790,published_historical_ft,rmse,0.808844329818246,0.7503168523415717,0.8627484001331528,2000,735
retrospective_lockbox_790,published_historical_ft,rae,0.7092535761227006,0.6571744053506479,0.768788503254682,2000,735
retrospective_lockbox_790,published_historical_ft,pearson,0.648352741213547,0.5874997707634564,0.7007574303680012,2000,735
retrospective_lockbox_790,published_historical_ft,spearman,0.5812074216182777,0.5231853807086047,0.6354211082241752,2000,735
