scope,outer_fold,objective,delta,objective_label,learning_rate,candidate,candidate_order,global_candidate_order,native_loss,best_epochs,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
outer_training,2.0,huber,0.5,huber_0.5,0.0003,huber_0.5_lr0.0003,0,15,0.23227337866743034,30;26;29;26,2675.0,0.640620541298592,0.8748643477964381,0.6871963498423261,0.6511429990367347,0.6246144527092599,0.12609595201206883,-0.336896505970067,1.047884073699881
outer_training,2.0,huber,0.5,huber_0.5,0.001,huber_0.5_lr0.001,1,16,0.23010558958365537,13;15;24;17,2675.0,0.6366709104543333,0.8694852171516574,0.6829595642189719,0.6564062877357295,0.6272676915642759,0.12263487718296727,-0.3685306180606111,1.0559000149057336
outer_training,2.0,huber,0.5,huber_0.5,0.003,huber_0.5_lr0.003,2,17,0.23460599536093596,13;13;9;10,2675.0,0.6406225799155926,0.8717425315309031,0.6871985366753594,0.6509253659445059,0.6254761971600891,0.10385182122684869,-0.23195196107092997,1.029246165012113
outer_training,2.0,huber,0.5,huber_0.5,0.01,huber_0.5_lr0.01,3,18,0.2256043955934382,15;13;24;18,2675.0,0.6294141490888171,0.8559174242921376,0.6751752057718468,0.6668746986640172,0.6386823684450196,0.10122637000520439,-0.2860707524112113,1.042226586623958
outer_training,2.0,huber,0.5,huber_0.5,0.03,huber_0.5_lr0.03,4,19,0.23624703954870455,9;13;8;13,2675.0,0.6416441947354133,0.8719588359457104,0.6882944271906752,0.6501206780130911,0.623356661599028,0.10098048478010443,-0.05976174747159882,0.9905832986026334
outer_training,2.0,huber,1.0,huber_1,0.0003,huber_1_lr0.0003,0,20,0.33362635430888593,30;28;30;23,2675.0,0.6379710838341066,0.8680934962982002,0.6843542656734886,0.6583982997473922,0.6313555607448151,0.12128532053635284,-0.4601347125770045,1.0770550113903554
outer_training,2.0,huber,1.0,huber_1,0.001,huber_1_lr0.001,1,21,0.3275381732655463,17;12;22;18,2675.0,0.6344464160657173,0.858256093224819,0.6805733397295058,0.6647488190812441,0.634750971557716,0.08534998430750979,-0.4955112122412819,1.0940399339756612
outer_training,2.0,huber,1.0,huber_1,0.003,huber_1_lr0.003,2,22,0.3300868661827016,9;11;12;18,2675.0,0.637176875168455,0.8627552201530517,0.6835023146964833,0.6601514768255986,0.6332507732412365,0.09251784574686708,-0.4227644311865507,1.0755932306893494
outer_training,2.0,huber,1.0,huber_1,0.01,huber_1_lr0.01,3,23,0.3295982625774134,6;13;18;9,2675.0,0.6377435084963312,0.8654382601956615,0.6841101446512116,0.6589451639592073,0.6311141019316483,0.10832124327311793,-0.3998142743854222,1.0664820756353353
outer_training,2.0,huber,1.0,huber_1,0.03,huber_1_lr0.03,4,24,0.33247152052193046,10;13;10;15,2675.0,0.637431456127882,0.866404860928406,0.6837754047627227,0.6599543704056023,0.6316896511078776,0.11559026264065679,-0.5169647078297784,1.0913916885772335
outer_training,2.0,huber,2.0,huber_2,0.0003,huber_2_lr0.0003,0,25,0.39293383476890137,28;30;30;26,2675.0,0.6405489345252869,0.8584436179068894,0.6871195369553408,0.6629463228550749,0.6352233674597637,0.05807982739368117,-0.5233553800853099,1.1073474773304182
outer_training,2.0,huber,2.0,huber_2,0.001,huber_2_lr0.001,1,26,0.4011476050247656,13;12;16;10,2675.0,0.647355755856418,0.8719004472447066,0.6944212428346125,0.6549434904299839,0.6292012119692153,0.10551659103232908,-0.6669202467785095,1.1281237153207888
outer_training,2.0,huber,2.0,huber_2,0.003,huber_2_lr0.003,2,27,0.3892282546012201,10;12;13;15,2675.0,0.6408486614749609,0.8599353947963236,0.6874410553152543,0.6597527874009566,0.6309545158927191,0.061580240040536326,-0.33750776405665267,1.0636100936304067
outer_training,2.0,huber,2.0,huber_2,0.01,huber_2_lr0.01,3,28,0.3965165326862692,11;9;10;15,2675.0,0.6485248596321556,0.8632869840972015,0.6956753453734494,0.6589283415153427,0.6322257594887675,0.05231334909581477,-0.6139758418590148,1.1297583205330581
outer_training,2.0,huber,2.0,huber_2,0.03,huber_2_lr0.03,4,29,0.40103217782261213,6;11;11;15,2675.0,0.6483885229722159,0.8684625065200332,0.6955290964647426,0.6500145171556506,0.6244068114611667,0.05044557295594045,-0.2838009802118003,1.053934306838201
outer_training,3.0,mse,,mse,0.0003,mse_lr0.0003,0,0,0.8069432256154925,29;16;22;29,2675.0,0.6494359357482717,0.8651166887314394,0.6975778709119093,0.6565514891130304,0.625254666580399,0.05436033866151257,-0.5763432607882913,1.1200929589970168
outer_training,3.0,mse,,mse,0.001,mse_lr0.001,1,1,0.7922723825401234,18;14;15;14,2675.0,0.6390455005276782,0.8569588982608666,0.6864172047398432,0.6699842918979596,0.6373088030149147,0.09783281569204383,-0.7173882015162911,1.1411299752198485
outer_training,3.0,mse,,mse,0.003,mse_lr0.003,2,2,0.8159266541828619,11;4;19;4,2675.0,0.6573421687817818,0.8701846872466265,0.7060701838605218,0.6489533420820248,0.6193452331370787,0.032669745851140235,-0.44984472818022064,1.0964611029051785
outer_training,3.0,mse,,mse,0.01,mse_lr0.01,3,3,0.845234337588337,14;3;8;4,2675.0,0.6659207392172077,0.8841116189746273,0.7152846738054265,0.6358533321681785,0.6048392407701109,0.057553897060320845,-0.5043918793305363,1.1027288331659266
