feature_coordinate,PC1,PC2,PC3,PC4,PC5
493,-0.0025599613484789184,0.007967561601197517,0.01303568882831296,-0.0031329963283577658,-0.00940466013875273
494,0.015410507682358883,-0.017088217746114506,0.004180153213228222,0.055514106344081396,-0.016090527586944885
495,0.010220054902303141,-0.008273535822323062,0.0030760357008927344,0.03360130197393224,-0.036224978458031847
496,0.013605812964771874,-0.01933311256443994,-0.0010638134222315117,0.04261988144767895,0.024295178543477368
497,-0.00016051371226306183,0.002014453042934252,0.004647477048753883,0.0004560218523730282,-0.0008680389075668654
498,0.020423729303433866,-0.024548663968574448,0.004332972442085364,0.054348953906812,0.03563137017526825
499,-0.005892667266715859,0.012549679511479377,0.00248341459691942,-0.016489109599183614,-0.034525004467257404
500,0.02114170644994101,-0.02934381024486918,-0.002279900028096365,0.0702062305429337,0.022628099763776714
501,-0.00013049429010406454,0.00038587983934666557,0.0005755277266879318,-0.0005367219846705868,3.6240044494868977e-06
502,0.009816714288187364,-0.005270157470901027,0.008401852187969626,0.020491129003067918,0.007936837148593275
503,-0.0003022769473362012,0.0012619704666257442,0.003570209204397136,-0.0008511938442176365,0.0015933140825239757
504,0.0,-0.0,-0.0,0.0,0.0
505,0.01798084357222142,-0.030826809313724255,-0.012673546278455636,0.061194274892462486,0.030658973335730977
506,-0.004247302010436671,0.009252179604465085,0.011727611785074168,-0.017945175953704005,0.009047103340305616
507,-0.003935414094285075,0.011482326081165334,0.016912409358060883,-0.008714121180739798,-0.010987459455915005
508,-0.0002450709518974471,0.0011102880868197082,0.003058817112566764,-0.0013114308708156736,0.0017911311048603466
509,0.0013669037018372518,0.0013325694329048795,0.0004209982350877053,0.0006984013413868106,-0.00013343801687307435
510,0.012779916536608218,-0.01619972630219108,0.0010784480937386354,0.04549755408841696,-0.01881690724896672
511,0.00011461250738400694,4.1674217565118435e-05,0.00014346892959853463,-9.473372208362307e-06,-0.00013274749448098633
512,0.0008008585586488647,0.0010308720657959413,-0.00032654614055692877,0.00041532881225270175,0.00017208597553358232
513,0.019231794185476027,-0.031164701579520535,-0.00877056337500949,0.0663148698060009,0.034819202632927836
514,0.0002350754432273211,0.0001844079801411989,0.00018694928091165543,0.00011731003223855631,5.8947510210134656e-05
515,0.01957598093583158,-0.025283347015136563,0.0030820054598355647,0.05674018275024046,0.02902472951255287
516,0.008131885912007386,-0.007382718041556064,0.006333669893947461,0.02251935256638905,0.01088421600066119
517,0.014882792042807557,-0.013072330004461829,0.011891727456289984,0.036679345252567906,0.0120550798101274
518,0.00035704895219697237,0.008096833760328949,0.010688794385964593,-0.0005099507124613329,-0.044064172424939846
519,0.023083102417501663,-0.030838683850327384,-0.0013939642517894187,0.0712409632219426,0.03405322234619395
520,0.0009287388060631966,0.0008394143862324654,0.00016321763451611232,0.00024547263853308735,-0.00020692942305555956
521,-0.0008809066173283643,0.0028765109834862895,0.005261969828847487,-0.0009830948155325054,-0.0025882037061189136
522,0.0007780555334594722,0.0008072595956067541,0.00014538040448599737,0.0002676553620963918,-0.00015130507735491584
523,0.00015829968128124592,0.00016180028128722564,1.0372404311399125e-06,-0.0002820087563903095,0.000492232047172229
524,0.0009743921287313635,0.0006620132981568762,0.0006278756701885457,0.00015160342545805227,-0.0010047253036761235
525,-0.0014446848099919532,0.004365591031137013,0.006506939949426915,-0.002261726502655036,-0.006259989004628169
526,0.002618377042171135,-0.007394573949391909,-0.01009688559626702,0.01707440966073941,-0.009265361727937245
527,-0.0003364152564267362,0.0013395744656733758,0.0036263473402346627,-0.0022854058484768755,0.003458225380077648
528,0.006881188779394624,-0.00801773267613324,0.004067061231112561,0.015725590387483116,0.015179561973862556
