PC,eigenvalue,explained_variance_fraction
241,0.00033805411791635855,2.9967868716773716e-06
242,0.0003355631784441109,2.974705156611793e-06
243,0.00032687235774991533,2.897662647793985e-06
244,0.00032284262763107336,2.8619398398868306e-06
245,0.00032054261078131495,2.8415506183548567e-06
246,0.00031616117135661057,2.8027099728749736e-06
247,0.000313395918952552,2.7781965246956284e-06
248,0.00030967954072479376,2.7452515230143024e-06
249,0.00030760336305211337,2.72684659414934e-06
250,0.00030324515398576256,2.688211881475031e-06
251,0.0003013545696069103,2.6714522026364358e-06
252,0.0003004878654047462,2.663769031105552e-06
253,0.0002952596685232666,2.617422038282234e-06
254,0.00029187521779562147,2.587419512145412e-06
255,0.00028794778757451096,2.5526035738021763e-06
256,0.00028638434810134743,2.538743973698154e-06
257,0.0002859331812684812,2.53474446364928e-06
258,0.0002795310270180232,2.4779905571254343e-06
259,0.00027508334507467746,2.438562684039999e-06
260,0.0002739801825692821,2.4287833536361213e-06
261,0.00027074642645071625,2.4001167071771e-06
262,0.00026759821507868703,2.3722083989833897e-06
263,0.0002634865658338577,2.3357593932626684e-06
264,0.00026251171384237003,2.327117511696707e-06
265,0.0002542682939542913,2.254041127801183e-06
266,0.00025284815114336954,2.241451825952388e-06
267,0.0002476663892054861,2.1955164702663828e-06
268,0.00024561157587267633,2.177300932300253e-06
269,0.00024520558067375276,2.1737018603836102e-06
270,0.00024244784915735415,2.149255083474361e-06
271,0.00024062394719451423,2.133086531849684e-06
272,0.00023943443674840706,2.1225417430135397e-06
273,0.0002350901564609769,2.0840305063733795e-06
274,0.00023150681754173117,2.0522648734145076e-06
275,0.0002303533027438561,2.0420391793041556e-06
276,0.00022639997216187036,2.0069936390796557e-06
277,0.00022552453385051743,1.9992330412955016e-06
278,0.00022425738370144958,1.9879999909348783e-06
279,0.00022022078079254542,1.9522162570222754e-06
280,0.00021605004099630883,1.915243424555148e-06
281,0.0002156608295094562,1.911793137123966e-06
282,0.00021290346714639198,1.8873496326903576e-06
283,0.00021033128125560487,1.8645476832376022e-06
284,0.00020693466920584027,1.834437349242398e-06
285,0.00020424324285504993,1.8105783552924098e-06
286,0.00020363271168188313,1.8051661100111713e-06
287,0.0002014588517629334,1.7858952462035427e-06
288,0.00019699185858819895,1.7462961826440542e-06
289,0.00019494626203722892,1.72816234973446e-06
290,0.00019351930568015343,1.715512647066444e-06
291,0.00018847193120205853,1.6707686112131765e-06
292,0.00018809548635566532,1.6674314976748618e-06
293,0.00018434058412262496,1.6341449878528114e-06
294,0.0001828201641027261,1.6206667471996518e-06
295,0.00017951536985656548,1.5913703609537682e-06
296,0.0001783957444800697,1.5814450902599511e-06
297,0.00017574149201817187,1.5579156359200377e-06
298,0.00017431101674999974,1.5452347387597253e-06
299,0.00017227613659439973,1.5271959047016598e-06
300,0.00017129796781473249,1.5185246204254637e-06
301,0.00016904507262870748,1.4985531236770782e-06
302,0.00016681175154495005,1.4787551477041882e-06
303,0.00016518212576950572,1.4643088183421925e-06
304,0.000164451090944125,1.457828330599748e-06
305,0.00016350020547204182,1.4493989077701387e-06
306,0.00016182180131753854,1.4345201671513696e-06
307,0.00016057685774476874,1.4234839739588385e-06
308,0.00015841472064907734,1.404317030798756e-06
309,0.00015653345738631327,1.3876399819204012e-06
310,0.0001545251568934568,1.3698367716283007e-06
311,0.00015252541081505754,1.352109394629101e-06
312,0.00015020282235115272,1.331520079936412e-06
313,0.00014925564960218362,1.323123569706581e-06
314,0.00014647020996793982,1.298431165486802e-06
315,0.00014622596219896944,1.2962659544489998e-06
316,0.00014457041831302794,1.2815898658586436e-06
317,0.00014326556712486959,1.270022602799499e-06
318,0.0001406990439852328,1.247270852582326e-06
319,0.000139931071912909,1.240462923016669e-06
320,0.00013907101927205931,1.2328387163395375e-06
