dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
development,all,mean_repr_plus_readouts_386d_mlp32_fixed,3344.0,0.6680736049793922,0.9051294763021562,0.7237895905854793,0.6299697263710788,0.6042131352187025,0.013563427797492688,0.9755951136815053,0.770498763493106
development,all,fine_tuned_continuous_head,3344.0,0.6329507983947217,0.860099040900178,0.6857376130658528,0.6576018969174745,0.625215523785095,0.09665846527102673,-0.39056932018885426,1.0669023680286778
development,all,fine_tuned_dual_branch_activity_adapter,3344.0,0.6289296897651208,0.860810161367077,0.6813811521204928,0.6616579583513785,0.6317480986908106,0.1285525330041282,-0.48295485089942986,1.0800904688418107
development,all,lightgbm,3344.0,0.5159594459141478,0.7185388558091421,0.5589894187309365,0.7735253996238479,0.7304467583777929,0.028910611168909934,-0.07556068208138425,1.0107851885671764
development,Emax_qualified,direct_affinity,3072.0,0.9553410088140729,1.311362240428836,1.0096255432225258,0.384312100270121,0.3932087117942384,0.7643114014730653,-2.0559819019626007,1.2581221378018206
development,Emax_qualified,affinity_only_linear,3072.0,0.8478488889891383,1.0656652693325377,0.8960254895567549,0.37881932853870426,0.39131988106373783,0.052925161852133584,-0.0984876865407127,1.010613906519677
development,Emax_qualified,binder_logit_only_linear,3072.0,0.8645631141313839,1.086142399422684,0.913689452982476,0.33215433551036416,0.340908374854454,0.054798988519447776,-0.06293216193235734,1.0018938168483214
development,Emax_qualified,continuous_plus_binary_linear,3072.0,0.8402143080423204,1.0591518248566725,0.8879570952717907,0.3923922607295604,0.40499639337200594,0.053083892445829874,-0.08167362430024358,1.0066598048128805
development,Emax_qualified,continuous_plus_binary_polynomial2,3072.0,0.7839897484159429,1.0156244862782724,0.8285377350313089,0.4707523964966394,0.45513125382418446,0.04144000213600778,0.08170850101419742,0.9712352816713824
development,Emax_qualified,mean_repr_384d_ridge,3072.0,0.6348613593986551,0.9094486351573629,0.6709355496520963,0.6315583506073513,0.6742984665290264,0.02623679701968219,0.8097276108629584,0.8040416585736018
development,Emax_qualified,mean_repr_plus_readouts_386d_ridge,3072.0,0.6348402794616637,0.9093536318163188,0.6709132719076683,0.6316107745501791,0.6742603863454144,0.026255902384503774,0.8087309928250063,0.8042716737978478
development,Emax_qualified,concat_repr_768d_ridge,3072.0,0.6273682355208614,0.9501897424060816,0.6630166503315885,0.6172131436341263,0.6848470855894855,0.030167610031705958,1.2035251651598267,0.7110764082940372
development,Emax_qualified,concat_repr_plus_member_readouts_772d_ridge,3072.0,0.62738029577134,0.9503735813281515,0.6630293958714832,0.6171091627854689,0.6848398356390987,0.030164825638829582,1.2046223526070297,0.7108199169647058
development,Emax_qualified,mean_repr_384d_mlp32_fixed,3072.0,0.664956268909816,0.970448516729964,0.7027405167613352,0.5939988592278985,0.6446600941622749,0.0023954220245340704,1.2707551643643438,0.6998836392468227
development,Emax_qualified,mean_repr_plus_readouts_386d_mlp32_fixed,3072.0,0.6720057454793968,0.9125339536737991,0.710190559777737,0.6380139462223487,0.625666387511839,0.052955740802558306,0.9153930635325179,0.774422279188399
development,Emax_qualified,fine_tuned_continuous_head,3072.0,0.6417778712262211,0.8733325326638672,0.6782450725833689,0.6624597735916581,0.6427010570922734,0.13527839768889902,-0.4239618849554707,1.0659836983827784
development,Emax_qualified,fine_tuned_dual_branch_activity_adapter,3072.0,0.6390869771016056,0.8755075777591046,0.6754012760570459,0.6662424513419453,0.6494695903495445,0.16694554682308624,-0.5125436951163309,1.0784249010481568
development,Emax_qualified,lightgbm,3072.0,0.5146657735884023,0.720281144591875,0.5439101916940318,0.781753592135158,0.7526071910374574,0.06569988278800117,-0.1294093271771579,1.0147972426500713
development,lower_Emax,direct_affinity,272.0,0.459223598077455,0.6493059161070028,1.0227375636189449,0.19315835713538032,0.20833378087131826,0.13387201883556213,2.796878419784971,0.4219964427895221
development,lower_Emax,affinity_only_linear,272.0,0.7433120959206307,0.8685392979582854,1.6554314829921608,0.18977446378745605,0.20764916877950046,-0.56524815281303,3.4940696305645806,0.3299962865523897
development,lower_Emax,binder_logit_only_linear,272.0,0.7567505618093646,0.8722397778361927,1.6853603105161807,0.20517172261873698,0.24158487730819203,-0.5982093245172566,3.063473505849742,0.43175597045910147
