dataset,representation,model_class,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
retrospective_lockbox_790,member1_384d,one_hidden_mlp,43,790.0,0.6305056953913049,0.8634405373431262,0.7492355856248186,0.5927205308015249,0.5245665347493792,0.12350104319898388,-0.1679284907517291,1.0097762661966083
retrospective_lockbox_790,member1_384d,one_hidden_mlp,44,790.0,0.6335437359628798,0.8578165244149071,0.7528457165458141,0.5949653616717918,0.527583729858229,0.049452933299390565,0.44507064500427035,0.8893774998789773
retrospective_lockbox_790,member1_384d,two_hidden_mlp,42,790.0,0.63122709538665,0.8736541970384146,0.7500928317241528,0.6045914548592811,0.5223418632646203,0.20807271166692806,0.2808039678116779,0.8943880557683208
retrospective_lockbox_790,member1_384d,two_hidden_mlp,43,790.0,0.6158255993746504,0.8597747652230324,0.7317910955647557,0.6061485719769478,0.5433499275662077,0.15685990155497684,0.17276155289291192,0.9279953109153979
retrospective_lockbox_790,member1_384d,two_hidden_mlp,44,790.0,0.6515218497288379,0.883858102156642,0.7742092707441748,0.5930412233073697,0.5195502446478877,0.06890431005743486,1.078396098210222,0.7444663952827478
retrospective_lockbox_790,member2_384d,one_hidden_mlp,42,790.0,0.5813492817697646,0.8620821477978241,0.6908225774376472,0.6147549938330782,0.6047921034637538,0.07239772953564606,0.9578760594155672,0.7707096685790453
retrospective_lockbox_790,member2_384d,one_hidden_mlp,43,790.0,0.5981261905718452,0.8098069241211808,0.7107587289794663,0.6543170399158713,0.6019817557673186,-0.08852136877518667,0.4576976787611088,0.9147870416444901
retrospective_lockbox_790,member2_384d,one_hidden_mlp,44,790.0,0.5876957524456554,0.864357472858905,0.6983641455920011,0.6409748731330401,0.6019573069556728,0.20912292015703415,0.8446646549850803,0.7724020895936122
retrospective_lockbox_790,member2_384d,two_hidden_mlp,42,790.0,0.6006893417020388,0.7916359028578783,0.7138045445083547,0.6835090837222586,0.6093873482763873,-0.16388503859314738,0.13499407603450958,1.006786643352426
retrospective_lockbox_790,member2_384d,two_hidden_mlp,43,790.0,0.6582007351042349,0.8817233964723414,0.7821458502741202,0.6354517419861668,0.556572901229131,0.18465863855579231,1.1276309312454973,0.7150650717297017
retrospective_lockbox_790,member2_384d,two_hidden_mlp,44,790.0,0.6317342186336276,0.835918973727286,0.7506954508372085,0.6510076121345643,0.5728901768553524,-0.18966225690479524,0.811420899944704,0.8530557541988069
retrospective_lockbox_790,mean_384d,one_hidden_mlp,42,790.0,0.5801627629316306,0.8013912572006681,0.6894126264363443,0.6599690531485717,0.6001224656269343,0.06224683912494515,0.2602769663341896,0.9280588965458787
retrospective_lockbox_790,mean_384d,one_hidden_mlp,43,790.0,0.579904596358915,0.8030421473001723,0.689105844777255,0.6592172942447034,0.607624064445148,0.05794908242889597,0.3531015252034709,0.9082244180000968
retrospective_lockbox_790,mean_384d,one_hidden_mlp,44,790.0,0.6203471037587033,0.8202297372339636,0.7371640398693883,0.6548979955888368,0.5833677035249295,-0.1113033371937426,0.8001510848586294,0.8401602356418854
retrospective_lockbox_790,mean_384d,two_hidden_mlp,42,790.0,0.6641680001186419,0.839175097463345,0.7892368049321474,0.6586181997682813,0.5767968181302684,-0.2583173239080212,0.30924152902749513,0.9877662518005088
retrospective_lockbox_790,mean_384d,two_hidden_mlp,43,790.0,0.6227159782602816,0.872025473983324,0.7399789947340866,0.6573173425795599,0.5799038191343495,0.30359096478812303,0.6226196052213357,0.803956213966996
retrospective_lockbox_790,mean_384d,two_hidden_mlp,44,790.0,0.6014946099414101,0.807978424634987,0.7147614519959802,0.6605602977951661,0.5940356096104306,-0.03400476117677327,0.7245767873620679,0.8425836043641438
retrospective_lockbox_790,concat_768d,one_hidden_mlp,42,790.0,0.5894771751210659,0.8214491902948134,0.700481026170896,0.6490452852321342,0.6101837296771292,0.023649769915810116,0.7744242641396937,0.8204383136056573
retrospective_lockbox_790,concat_768d,one_hidden_mlp,43,790.0,0.5915048673907413,0.8397589160505473,0.7028905511224419,0.623629217821425,0.6155186088478445,-0.03278522041779531,0.740760688611949,0.8386613284770935
retrospective_lockbox_790,concat_768d,one_hidden_mlp,44,790.0,0.6559583121270318,0.8668579448312719,0.779481158892545,0.6540690537364668,0.5906412833467848,-0.17584459464949903,1.3849539620219937,0.7151734890691624
retrospective_lockbox_790,concat_768d,two_hidden_mlp,42,790.0,0.6039430298141286,0.8334092090037332,0.7176709313402599,0.6777182555016504,0.6005327042733127,0.23809814766992496,0.6565080239067058,0.8079838754160815
retrospective_lockbox_790,concat_768d,two_hidden_mlp,43,790.0,0.5827860511224481,0.8101659500505436,0.6925299033749609,0.6712990197353629,0.5947331151366937,0.11129932023301908,0.719451063905073,0.8167011031278959
retrospective_lockbox_790,concat_768d,two_hidden_mlp,44,790.0,0.5722367082064665,0.7902559801619343,0.6799940243569179,0.6722600742750467,0.6020867554422207,0.0275758988947808,0.43252113284470317,0.8965723970855801
