false_positive_rate,true_positive_rate,score_threshold,cohort,threshold,curve,recall,precision
0.02027027027027027,0.010831889081455806,0.7143622636795044,development_all,4.0,roc,,
0.02027027027027027,0.011265164644714038,0.7126334309577942,development_all,4.0,roc,,
0.021235521235521235,0.011265164644714038,0.7125257253646851,development_all,4.0,roc,,
0.021235521235521235,0.012564991334488735,0.7087478637695312,development_all,4.0,roc,,
0.023166023166023165,0.012564991334488735,0.7046896815299988,development_all,4.0,roc,,
0.023166023166023165,0.01386481802426343,0.6993699073791504,development_all,4.0,roc,,
0.02413127413127413,0.01386481802426343,0.6985827684402466,development_all,4.0,roc,,
0.02413127413127413,0.015164644714038129,0.6950260400772095,development_all,4.0,roc,,
0.025096525096525095,0.015164644714038129,0.6929692029953003,development_all,4.0,roc,,
0.025096525096525095,0.01559792027729636,0.6926167607307434,development_all,4.0,roc,,
0.026061776061776062,0.01559792027729636,0.6888294816017151,development_all,4.0,roc,,
0.026061776061776062,0.016031195840554593,0.6884371042251587,development_all,4.0,roc,,
0.02702702702702703,0.016031195840554593,0.6865266561508179,development_all,4.0,roc,,
0.02702702702702703,0.019064124783362217,0.6724321842193604,development_all,4.0,roc,,
0.027992277992277992,0.019064124783362217,0.6709386110305786,development_all,4.0,roc,,
0.027992277992277992,0.02079722703639515,0.6654022336006165,development_all,4.0,roc,,
0.02895752895752896,0.02079722703639515,0.664972722530365,development_all,4.0,roc,,
0.02895752895752896,0.02123050259965338,0.6596754789352417,development_all,4.0,roc,,
0.03088803088803089,0.02123050259965338,0.656233549118042,development_all,4.0,roc,,
0.03088803088803089,0.021663778162911613,0.6520359516143799,development_all,4.0,roc,,
0.03185328185328185,0.021663778162911613,0.6508407592773438,development_all,4.0,roc,,
0.03185328185328185,0.024263431542461005,0.6398252248764038,development_all,4.0,roc,,
0.032818532818532815,0.024263431542461005,0.6384589672088623,development_all,4.0,roc,,
0.032818532818532815,0.02512998266897747,0.6372970342636108,development_all,4.0,roc,,
0.033783783783783786,0.02512998266897747,0.6363579630851746,development_all,4.0,roc,,
0.033783783783783786,0.025996533795493933,0.6348717212677002,development_all,4.0,roc,,
0.03474903474903475,0.025996533795493933,0.6329513788223267,development_all,4.0,roc,,
0.03474903474903475,0.026429809358752165,0.6328898668289185,development_all,4.0,roc,,
0.03861003861003861,0.026429809358752165,0.6239920258522034,development_all,4.0,roc,,
0.03861003861003861,0.026863084922010397,0.6210603713989258,development_all,4.0,roc,,
0.03957528957528957,0.026863084922010397,0.61861252784729,development_all,4.0,roc,,
0.03957528957528957,0.02859618717504333,0.6156018376350403,development_all,4.0,roc,,
0.04054054054054054,0.02859618717504333,0.613498866558075,development_all,4.0,roc,,
