model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters,dataset
mean_repr_plus_readouts_386d_ridge,pearson,0.6714336265735282,0.6176639234338115,0.7181727220464438,2000,735,validation
mean_repr_plus_readouts_386d_ridge,spearman,0.6191588288009943,0.5648782110957374,0.6700340809194006,2000,735,validation
mean_repr_plus_readouts_386d_ridge,bias,-0.05968200149069732,-0.11455264599840276,-0.005502090025719236,2000,735,validation
concat_repr_768d_ridge,mae,0.591550053282629,0.5553849068343292,0.6275864054185191,2000,735,validation
concat_repr_768d_ridge,rmse,0.7815987014709301,0.7312465060674287,0.8335627704122691,2000,735,validation
concat_repr_768d_ridge,rae,0.7029442459239607,0.6449099137532406,0.7679186313119505,2000,735,validation
concat_repr_768d_ridge,pearson,0.6802449225553814,0.6263600084257139,0.7269700511920719,2000,735,validation
concat_repr_768d_ridge,spearman,0.6233415714137569,0.5681478597408061,0.6747261036792781,2000,735,validation
concat_repr_768d_ridge,bias,-0.07003661065161983,-0.12236620244309956,-0.01558599467471125,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,mae,0.5915416220575109,0.5553760846191226,0.6275732964962575,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,rmse,0.7815996180233374,0.7312443622395276,0.8335638958567232,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,rae,0.7029342270233622,0.6448960435517366,0.7679050497938883,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,pearson,0.6802448888371453,0.6263616184792803,0.726977706645865,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,spearman,0.6233450397618499,0.5681456935045519,0.6747444408583971,2000,735,validation
concat_repr_plus_member_readouts_772d_ridge,bias,-0.07003929773670423,-0.12237552501878785,-0.0156004171363853,2000,735,validation
mean_repr_384d_mlp32_fixed,mae,0.6083822149453284,0.5667258082619394,0.6512883834901461,2000,735,validation
mean_repr_384d_mlp32_fixed,rmse,0.855152883581482,0.7676508977847043,0.9516496367489725,2000,735,validation
mean_repr_384d_mlp32_fixed,rae,0.7229460549367364,0.6629561036609529,0.7896441826605406,2000,735,validation
mean_repr_384d_mlp32_fixed,pearson,0.6259137206145644,0.5363316130350065,0.6983512447942553,2000,735,validation
mean_repr_384d_mlp32_fixed,spearman,0.5937427410787043,0.5379342397839536,0.646966913470129,2000,735,validation
mean_repr_384d_mlp32_fixed,bias,0.022790621756752838,-0.036674441174616566,0.08370611509772649,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,mae,0.6357552116740244,0.5971574808368055,0.6756072590908221,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,rmse,0.8528020117391014,0.7919515550391109,0.9119136452201034,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,rae,0.7554736330129385,0.6911660095138756,0.8257519462153701,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,pearson,0.6220504424654688,0.5585243802592467,0.6824506617422945,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,spearman,0.5636768569808832,0.5066070952749607,0.6187479716994757,2000,735,validation
mean_repr_plus_readouts_386d_mlp32_fixed,bias,-0.10318406908994855,-0.15971736219910374,-0.04429530602318023,2000,735,validation
fine_tuned_continuous_head,mae,0.5968595563291139,0.5590786309846736,0.6363166146102752,2000,735,validation
fine_tuned_continuous_head,rmse,0.808844329818246,0.7542444525492795,0.8634305104824349,2000,735,validation
fine_tuned_continuous_head,rae,0.7092535761227006,0.6535629770655068,0.7709219469896418,2000,735,validation
fine_tuned_continuous_head,pearson,0.6483527412135469,0.5849762288663461,0.7005717183466998,2000,735,validation
fine_tuned_continuous_head,spearman,0.5812074216182777,0.519943974222073,0.6348937925853345,2000,735,validation
fine_tuned_continuous_head,bias,-0.007891130759493672,-0.06736714110781301,0.0489272581092185,2000,735,validation
fine_tuned_dual_branch_activity_adapter,mae,0.594827914050633,0.5574166249748258,0.6336641097294202,2000,735,validation
fine_tuned_dual_branch_activity_adapter,rmse,0.8014578868719424,0.747833535536114,0.8549991404672431,2000,735,validation
fine_tuned_dual_branch_activity_adapter,rae,0.7068393573401833,0.6506149352278421,0.7685841886976194,2000,735,validation
fine_tuned_dual_branch_activity_adapter,pearson,0.6571227553405538,0.5962262909440511,0.7077091931700774,2000,735,validation
fine_tuned_dual_branch_activity_adapter,spearman,0.5912638908293543,0.5311544528542421,0.6444725401058146,2000,735,validation
fine_tuned_dual_branch_activity_adapter,bias,-0.025205850253164564,-0.0839611768014158,0.030825556039344778,2000,735,validation
lightgbm,mae,0.4886110812562471,0.45558349512278584,0.5235408595513927,2000,735,validation
lightgbm,rmse,0.6895351522661249,0.6372494915621301,0.746270227820761,2000,735,validation
lightgbm,rae,0.5806209401179165,0.5282686081352026,0.6384835436461523,2000,735,validation
lightgbm,pearson,0.7601449961705956,0.7114406406862225,0.8000284878724084,2000,735,validation
lightgbm,spearman,0.6972646690999612,0.6470942784110391,0.7397090757815936,2000,735,validation
lightgbm,bias,0.014117066473124126,-0.03639714640563094,0.06644189296470904,2000,735,validation
