dataset,representation,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,rmse,1.1840526457169285,0.7455674255657477,1.7403365582290284,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,rae,0.7481347626682542,0.668001997928162,0.8627598130575779,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,pearson,0.4537510052370397,0.3361131706542391,0.7098788963754266,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,spearman,0.6135251483996489,0.5579627945115171,0.6645254563483632,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,bias,-0.09491117712817615,-0.19084439786246565,-0.020874082295385697,2000,735
nested_development,ridge_mean_384d,all_pairs,mae,0.6327893414750589,0.6092865856590564,0.6547922552650299,2000,2931
nested_development,ridge_mean_384d,all_pairs,rmse,0.89895093414691,0.8323659565479449,0.9767953121098357,2000,2931
nested_development,ridge_mean_384d,all_pairs,rae,0.6855626909660888,0.6277467858121717,0.7394444251154603,2000,2931
nested_development,ridge_mean_384d,all_pairs,pearson,0.6267899185584018,0.5528789762757673,0.6918541369491558,2000,2931
nested_development,ridge_mean_384d,all_pairs,spearman,0.6537124795131735,0.6043272794176159,0.708354927914193,2000,2931
nested_development,ridge_mean_384d,all_pairs,bias,-0.01166902705042544,-0.041053929196744145,0.020477767415960378,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,mae,0.6062359481361093,0.5856885917517438,0.6257783622124659,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,rmse,0.8151269350904939,0.7877334870017986,0.842205635497067,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,rae,0.6567947984012472,0.6033424580221627,0.7093969520616599,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,pearson,0.6945392610342145,0.651472007721834,0.7315040884664066,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,spearman,0.6724765256062223,0.6250189666203287,0.7218054974952972,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only,bias,0.003231860377104961,-0.026691866426757544,0.03380873184014642,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,mae,0.6310902940161162,0.6102966121010167,0.6505810059408214,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,rmse,0.8473378886584784,0.8137560524220506,0.8847945430958786,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,rae,0.6837219463901503,0.6258880443134806,0.738106127201606,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,pearson,0.6642232609658137,0.6119856164402895,0.7093526707855656,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,spearman,0.642163372587209,0.5905287723028533,0.6986428491115028,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only,bias,-0.0072083463408109845,-0.036656825361213986,0.024149811283456956,2000,2931
lockbox_all_790,ridge_mean_384d,all_pairs,mae,0.5963026500170745,0.5587712397512824,0.6333699656641665,2000,735
lockbox_all_790,ridge_mean_384d,all_pairs,rmse,0.78868989493072,0.7338631751753664,0.8409467227955247,2000,735
lockbox_all_790,ridge_mean_384d,all_pairs,rae,0.7085917993459181,0.6570162669143004,0.7708452618149043,2000,735
lockbox_all_790,ridge_mean_384d,all_pairs,pearson,0.6714364278453089,0.616746321121088,0.718660883020191,2000,735
lockbox_all_790,ridge_mean_384d,all_pairs,spearman,0.6191232241944308,0.563990036632572,0.6689314566220188,2000,735
lockbox_all_790,ridge_mean_384d,all_pairs,bias,-0.059694614168963864,-0.1134961080598575,-0.004471410814893387,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,mae,0.5942057867895199,0.5567278130644534,0.6305353005592728,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,rmse,0.7796499088801805,0.7268203556440548,0.8295791591605801,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,rae,0.7061000779233273,0.6572312549318139,0.7625578728765219,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,pearson,0.6832000501038971,0.6339798728581291,0.7248987808748664,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,spearman,0.6310706938668769,0.5756732539040355,0.679701479946525,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only,bias,-0.07057538201537314,-0.12474944323795188,-0.017310945840151675,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,mae,0.5964354244183889,0.5587299198396173,0.6343707869277501,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,rmse,0.7899958073076363,0.7346506208199605,0.8420731345323225,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,rae,0.7087495763605463,0.6571637176309683,0.7704325245094106,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,pearson,0.6698514636695873,0.6160880157955165,0.7168242590776596,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,spearman,0.6233409545548487,0.5692196353152947,0.6730743183234413,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only,bias,-0.057757152364223824,-0.11227336027603886,-0.0017578502776242088,2000,735
nested_development,ridge_concat_768d,all_pairs,mae,0.6262024466987568,0.5997702238795083,0.6510204727386774,2000,2931
nested_development,ridge_concat_768d,all_pairs,rmse,0.9374089759972086,0.8043049707790138,1.1304463674592642,2000,2931
nested_development,ridge_concat_768d,all_pairs,rae,0.6784264625058783,0.6271448701024083,0.7350192483858112,2000,2931
nested_development,ridge_concat_768d,all_pairs,pearson,0.6123212865832875,0.4958331480547989,0.7023716848217839,2000,2931
nested_development,ridge_concat_768d,all_pairs,spearman,0.6637836684161205,0.6170354007262716,0.7151940404632141,2000,2931
nested_development,ridge_concat_768d,all_pairs,bias,-0.009321811149124504,-0.041028336110265407,0.022517094991039457,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,mae,0.5989139088224122,0.580789644868233,0.6186859124342177,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,rmse,0.8061819077740195,0.7808318606895837,0.8341746869607936,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,rae,0.648862115838111,0.5902242371378418,0.7040993987253535,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,pearson,0.7024883196065661,0.6579884036223985,0.7437243361828737,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,spearman,0.6794802152794768,0.632819447431482,0.7294394718228954,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only,bias,0.004139492656826426,-0.024843664092364978,0.03397823146383441,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,mae,0.6269800641419304,0.5982995066773922,0.656458951996849,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,rmse,1.016353084564339,0.8003297663543609,1.3326378987050678,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,rae,0.6792689316689045,0.6281126514135807,0.7380995804285764,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,pearson,0.5666941468926912,0.42267580669551585,0.7081718151718455,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,spearman,0.663795314144613,0.6169980196181644,0.7138227990627863,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only,bias,0.012303453504571328,-0.02228478324753854,0.048909379196576556,2000,2931
lockbox_all_790,ridge_concat_768d,all_pairs,mae,0.5915508216544042,0.5539068444867964,0.6282121606682689,2000,735
lockbox_all_790,ridge_concat_768d,all_pairs,rmse,0.7816021510574077,0.7273609535422211,0.8325435742872216,2000,735
lockbox_all_790,ridge_concat_768d,all_pairs,rae,0.7029451589870482,0.6492532786114741,0.7660101238058251,2000,735
lockbox_all_790,ridge_concat_768d,all_pairs,pearson,0.6802418977754173,0.6261491447239409,0.7279694892599614,2000,735
lockbox_all_790,ridge_concat_768d,all_pairs,spearman,0.6233504773001097,0.5684057512473354,0.6753197816906152,2000,735
lockbox_all_790,ridge_concat_768d,all_pairs,bias,-0.07003868278068832,-0.12327698334816804,-0.014758370259360868,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,mae,0.6064172815854036,0.5689348178593645,0.6449157802934331,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,rmse,0.7896364182011958,0.7371909900783149,0.8405782701061506,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,rae,0.7206111069618044,0.6687962557456053,0.7819094148897807,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,pearson,0.6714005891589977,0.6178776322040089,0.7155888713376803,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,spearman,0.6240931806999919,0.5698770153843966,0.6719516987922431,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only,bias,-0.06433038729655592,-0.11819135390772607,-0.008377245646930426,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,mae,0.6135484610207473,0.5598753827406381,0.6785922137839012,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,rmse,1.0457904850121094,0.734549897388822,1.4544537443289625,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,rae,0.7290851515889818,0.6566207960480994,0.8271350169658659,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,pearson,0.5166085544645048,0.39115369448244874,0.7178900162832247,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,spearman,0.6245003039179078,0.5700008137481143,0.6758281500796186,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only,bias,-0.08445466186426863,-0.16467100701171444,-0.017469495339376195,2000,735
