pool_variant,representation,selected,alpha,mae,rmse,spearman,pearson,bias
receptor_ligand_only,ridge_mean_384d,True,100.0,0.6233613172259606,0.8432617642317086,0.6534243527112533,0.6690658886632399,-0.0061044801097591556
receptor_ligand_only,ridge_mean_384d,False,1000.0,0.6543140433446221,0.8649996205746642,0.6154848459912631,0.6464403958471008,-0.003935804520929994
receptor_ligand_only,ridge_concat_768d,False,0.0,335.77855197026514,8430.570665677935,0.5372159137007095,0.036526592120361696,-240.7416707985055
receptor_ligand_only,ridge_concat_768d,False,0.0001,1.4301043348922997,10.10188848811534,0.5345391427098553,0.011389842363623453,0.2442459522684263
receptor_ligand_only,ridge_concat_768d,False,0.001,1.127442904785739,6.871033267557844,0.5283741954783503,0.033427479793025835,0.22105993453367373
receptor_ligand_only,ridge_concat_768d,False,0.01,0.9072678732496577,3.0413578927458955,0.5522698353414844,0.15174611626239143,0.11688740111792077
receptor_ligand_only,ridge_concat_768d,False,0.1,0.767346820334659,1.5205596883890113,0.5759445831137048,0.3759138721415355,0.05367860008982553
receptor_ligand_only,ridge_concat_768d,False,1.0,0.7052200032294291,1.2989870948055218,0.6083022062751782,0.45450669557578477,0.03541473339202473
receptor_ligand_only,ridge_concat_768d,False,10.0,0.6542693061520443,1.1664289566400696,0.6442079393241186,0.5061061721973571,0.02012175672066357
receptor_ligand_only,ridge_concat_768d,True,100.0,0.6269800641419304,1.016353084564339,0.663795314144613,0.5666941468926912,0.012303453504571328
receptor_ligand_only,ridge_concat_768d,False,1000.0,0.6361437439964458,0.8755270431180613,0.6463723314756715,0.6380016311515282,0.002214356737426713
