scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,member1_norm_l2,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.306685397190268
native_unique,unique,pooled,member1_norm_l2,MW,spearman,none,,3344,1,-0.3056228088031186
native_unique,unique,pooled,member1_norm_l2,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.19175407962183702
native_unique,unique,pooled,member1_norm_l2,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.19175407962183702
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,pearson,none,,3344,1,-0.4108939431970003
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.31722709717995107
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.08697928685540715
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,spearman,none,,3344,1,-0.30797958478491916
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.19808364371917922
native_unique,unique,pooled,member1_norm_l2,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.06003756620862856
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,pearson,none,,3344,1,0.066568314713779
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,0.08972288087058695
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.14847440378897317
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,spearman,none,,3344,1,0.096508929970968
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,0.11981902783975935
native_unique,unique,pooled,member1_norm_l2,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.14967664987171675
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,pearson,none,,3344,1,0.29007606423062876
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,spearman,none,,3344,1,0.30152711553696926
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.0017772615152514182
native_unique,unique,pooled,member1_norm_l2,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.00014052221516477813
native_unique,unique,pooled,member1_norm_l2,y_true,pearson,none,,3344,1,-0.34109635620475265
native_unique,unique,pooled,member1_norm_l2,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.27083598211196036
native_unique,unique,pooled,member1_norm_l2,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.1753432255132362
native_unique,unique,pooled,member1_norm_l2,y_true,spearman,none,,3344,1,-0.4017308249591049
native_unique,unique,pooled,member1_norm_l2,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.3409540254392494
native_unique,unique,pooled,member1_norm_l2,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.28611748814781984
native_unique,unique,pooled,member1_norm_l2,native_cached,pearson,none,,3344,1,-0.308027400078921
native_unique,unique,pooled,member1_norm_l2,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.18526896146491884
native_unique,unique,pooled,member1_norm_l2,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.08100444061257886
native_unique,unique,pooled,member1_norm_l2,native_cached,spearman,none,,3344,1,-0.4361528752448355
native_unique,unique,pooled,member1_norm_l2,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.3149896433960562
native_unique,unique,pooled,member1_norm_l2,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.27816731296143904
native_unique,unique,pooled,member2_norm_l2,MW,pearson,none,,3344,1,-0.3736751124458479
native_unique,unique,pooled,member2_norm_l2,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.24011226243833314
native_unique,unique,pooled,member2_norm_l2,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.24011226243833314
native_unique,unique,pooled,member2_norm_l2,MW,spearman,none,,3344,1,-0.2883392123607073
native_unique,unique,pooled,member2_norm_l2,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.17026293177074653
native_unique,unique,pooled,member2_norm_l2,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.17026293177074653
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,pearson,none,,3344,1,-0.362296040097612
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.22917907731391307
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.003180061578993109
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,spearman,none,,3344,1,-0.2757613733068165
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.15973890574874008
native_unique,unique,pooled,member2_norm_l2,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.015949523427354145
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,pearson,none,,3344,1,0.07827093434437282
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,0.11101120921684379
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.1564217974021286
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,spearman,none,,3344,1,0.0993128027923288
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,0.1239043311418475
native_unique,unique,pooled,member2_norm_l2,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.15006306575843933
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,pearson,none,,3344,1,0.29961998000030987
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,spearman,none,,3344,1,0.27307347603828136
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.002188282461635091
native_unique,unique,pooled,member2_norm_l2,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-1.832985028515498e-05
native_unique,unique,pooled,member2_norm_l2,y_true,pearson,none,,3344,1,-0.436601975594944
native_unique,unique,pooled,member2_norm_l2,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.3834470094948024
native_unique,unique,pooled,member2_norm_l2,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.3109147768643854
native_unique,unique,pooled,member2_norm_l2,y_true,spearman,none,,3344,1,-0.4082754933154229
native_unique,unique,pooled,member2_norm_l2,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.36160198128530663
native_unique,unique,pooled,member2_norm_l2,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.3117394396514301
