lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90
baselines,random,-1,weighted_median,0.6328480541611762,0.9211470356224178,0.6191342815638375,,4.0470036638605806e-32,4.9156,,,4.2392433757580406e-16,0.0,4.2964657184361625,4.9156,1.132196609555844,4.796163466380677e-16,4.9155999999999995,4.9155999999999995,668.8,2140.0,535.2,0.004041271220485214,1.0,0.6328480541611762,0.9211470356224178,,3.2776,,0.8017906339786793,3.5000000000000004,0.0,0.02,0.9002068508722465,4.937284337349397,0.0,0.0
baselines,random,25,descriptor_lightgbm_rdkit_mordred,0.6855154606814312,0.8891385034003583,0.36964765700041774,,0.034527611486817,4.518027555449477,,,0.12752909131000942,0.14343316715854765,4.2964657184361625,4.666113375436581,1.132196609555844,0.1447157348044106,4.3624604176621515,4.95892384749772,668.8,20.0,5.0,0.34691713843960315,178.2,0.6855154606814314,0.8891385034003583,,3.210008145321112,,0.8252823500980102,3.7118035354631034,0.0,0.04,1.0,inf,668.8,0.0
baselines,random,25,native_affine,0.6453171712781619,0.8502362908821126,0.40824604866697606,,0.11097312861516447,4.228602970395039,,,0.29318123263544393,0.253400635979944,4.2964657184361625,4.704711767103139,1.132196609555844,0.33293351548009625,3.689740443229675,6.375245056152344,668.8,20.0,5.0,0.0035915639196173288,2.0,0.6453171712781618,0.8502362908821126,,3.7503557601928708,,0.8241096730306203,3.5223973842620846,0.0,0.0,1.0,inf,668.8,0.0
baselines,random,25,weighted_median,0.6601538010111283,0.948166669448935,0.6365342815638376,,1.6398367632464114e-32,4.933,,,4.385739858031374e-16,0.0,4.2964657184361625,4.933,1.132196609555844,4.973799150320702e-16,4.933,4.933,668.8,20.0,5.0,0.0049447125382721425,1.0,0.6601538010111284,0.948166669448935,,3.2950000000000004,,0.8314922621125462,4.2236,0.0,0.04,1.0,inf,668.8,0.0
baselines,random,50,descriptor_lightgbm_rdkit_mordred,0.649598341416771,0.8454461890672671,0.3593423856454986,0.2802353933310982,0.09267352277587759,4.257501075112346,1.2345968708387294,-1.4309100986593115,0.24268061871397298,0.2808314811635627,4.2964657184361625,4.655808104081661,1.132196609555844,0.2745579732792064,4.1059715044634615,5.135197217854,668.8,40.0,10.0,0.5954122179604019,295.76,0.649598341416771,0.8454461890672671,0.2802353933310982,3.2953796897507335,,0.8368760684908212,3.477378230004855,0.0,0.0,0.9085495824494508,4.566895293658984,0.0,0.0
baselines,random,50,native_affine,0.6324186115892338,0.840011828253975,0.40684005333418155,0.38527104624049036,0.10144572124857752,4.267719987757853,1.8067480291718363,-4.209336043789301,0.2682557836522902,0.2328126030922701,4.2964657184361625,4.703305771770344,1.132196609555844,0.30416916821340356,3.782802691459656,6.220204648971557,668.8,40.0,10.0,0.003741899460728746,2.0,0.6324186115892338,0.840011828253975,0.38527104624049036,3.6786110206604006,,0.8141115974329368,3.2221148002624513,0.0,0.0,0.9044503817477154,4.514963516235352,0.0,0.0
baselines,random,50,weighted_median,0.6436514204793987,0.9363662093825208,0.6413342815638375,,1.773721174168414e-33,4.9378,,,4.547291831876952e-16,0.0,4.2964657184361625,4.9378,1.132196609555844,5.151434834260726e-16,4.9378,4.9378,668.8,40.0,10.0,0.0037226882993127218,1.0,0.6436514204793988,0.9363662093825208,,3.2998000000000003,,0.8224539262282609,4.0004,0.0,0.02,0.9013722778657932,5.0802,0.0,0.08
baselines,random,100,descriptor_lightgbm_rdkit_mordred,0.6041698875563593,0.751978151450048,0.24206277251600633,0.5249135266481201,0.21560112621686373,3.611871424624555,1.661221324022352,-3.298525638493642,0.3830554184222786,0.4026860588181273,4.2964657184361625,4.538528490952169,1.132196609555844,0.4333820136571461,3.5095962372085996,5.412425039656897,668.8,80.0,20.0,1.271548996019992,594.9,0.6041698875563593,0.751978151450048,0.5249135266481201,3.299475834448243,,0.8220928546494456,2.777197107570917,0.0,0.0,0.9056769420799655,3.8060510368685034,0.0,0.0
baselines,random,100,native_affine,0.6277434264022137,0.8325812434522558,0.3916083806466865,0.3852708966394194,0.0988824339306993,4.263467328353206,1.6936751658033609,-3.6500104552395105,0.2609144306893142,0.22643364383774223,4.2964657184361625,4.688074099082849,1.132196609555844,0.2957086252194298,3.789988760948181,6.165066528320312,668.8,80.0,20.0,0.00422574927972164,2.0,0.6277434264022136,0.8325812434522558,0.3852708966394194,3.6461352184295652,,0.8095903260743088,3.112590246963501,0.0,0.0,0.9113601944093876,4.4710220386505135,0.0,0.0
baselines,random,100,weighted_median,0.6381745742664436,0.9276781831927479,0.6262342815638375,,3.3999087693921615e-32,4.9227,,,4.557789692131431e-16,0.0,4.2964657184361625,4.9227,1.132196609555844,5.151434834260726e-16,4.9227,4.9227,668.8,80.0,20.0,0.003220092700794339,1.0,0.6381745742664436,0.9276781831927479,,3.2846999999999995,,0.818145860744878,3.8748,0.0,0.0,0.9105232584159038,5.234399999999999,0.0,0.12
