lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
original,chemical_cluster,-1,head_pretrained,"novelty_[0.2,0.35)",23745,2858,1895,2103.400728468768,1189.5775339646748,False,0.4850833141889562,0.6214046143040076,0.273936983683007,0.025883081763134745,165118.50162164523,0.743921579259372
original,chemical_cluster,-1,head_pretrained,"novelty_[0.35,0.5)",8008,1003,511,742.945581766181,271.45546045887085,False,0.5397361866778168,0.7140538607492245,0.4452337844483095,0.1576649648886016,49036.35525147844,0.2209274095969716
original,chemical_cluster,-1,head_pretrained,"novelty_[0.5,0.7)",1431,172,91,121.27225640382227,50.42224772076024,False,0.5864848562751812,0.7395833747825117,0.5561893408919947,0.29806336582773324,6602.051850361735,0.02974475174276611
original,chemical_cluster,-1,head_pretrained,"novelty_[0.7,1]",48,6,5,3.234473979325862,2.9019427125586414,True,0.7246177194217208,1.053500904970699,1.0333994542890126,0.7155117804589289,180.20489223906384,0.0008118915003960752
original,chemical_cluster,-1,head_random,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.5003719455941376,0.6464609240607704,0.31709850632502523,0.05500039446457311,221956.86511208978,1.0
original,chemical_cluster,-1,head_random,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.0669345290018108,1.2238168799938534,1.1584778603961263,0.9932680413902474,36299.730764192434,0.16354407756597578
original,chemical_cluster,-1,head_random,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.38959748324449406,0.38730114488110223,-0.06057437531174271,-0.1284499377178275,185657.13434789734,0.8364559224340242
original,chemical_cluster,-1,head_random,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.1674332204062872,1.1682768844111653,-1.1682768844111653,-1.1674332204062872,5565.977961432507,0.025076845262802072
original,chemical_cluster,-1,head_random,"novelty_[0,0.2)",208,39,32,15.180064056421697,7.742842710244153,True,0.9730714351133051,1.09150728032375,0.5331744984862131,-0.031077804935168825,1019.7514963652806,0.004594367900494084
original,chemical_cluster,-1,head_random,"novelty_[0.2,0.35)",23745,2858,1895,2103.400728468768,1189.5775339646748,False,0.4846163547564628,0.61874739096835,0.2652278395023942,0.019705012668403642,165118.50162164523,0.743921579259372
original,chemical_cluster,-1,head_random,"novelty_[0.35,0.5)",8008,1003,511,742.945581766181,271.45546045887085,False,0.5322350829557734,0.7013959346945995,0.42659004007159784,0.14526585292954458,49036.35525147844,0.2209274095969716
original,chemical_cluster,-1,head_random,"novelty_[0.5,0.7)",1431,172,91,121.27225640382227,50.42224772076024,False,0.579100629655731,0.7218208735121899,0.5111561831177295,0.2631344460940847,6602.051850361735,0.02974475174276611
original,chemical_cluster,-1,head_random,"novelty_[0.7,1]",48,6,5,3.234473979325862,2.9019427125586414,True,0.707250691625348,1.0158056814803018,0.9883576646778319,0.6948167648600182,180.20489223906384,0.0008118915003960752
original,chemical_cluster,-1,repr_mlp,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.5339312523947163,0.6776571835099934,0.19343367996169722,-0.007887317830157649,221956.86511208978,1.0
original,chemical_cluster,-1,repr_mlp,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.0534256923291174,1.2279383032147244,0.8134126694883403,0.7093242161726409,36299.730764192434,0.16354407756597578
original,chemical_cluster,-1,repr_mlp,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.43235956558963423,0.4306505803842995,-0.08485844878596409,-0.14811670183265768,185657.13434789734,0.8364559224340242
original,chemical_cluster,-1,repr_mlp,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.2244816778809067,1.2241733730413487,-1.2123772089368847,-1.2126134097270034,5565.977961432507,0.025076845262802072
original,chemical_cluster,-1,repr_mlp,"novelty_[0,0.2)",208,39,32,15.180064056421697,7.742842710244153,True,1.2529275710830998,1.3541460115472093,-0.08084361849591518,-0.5070859323719281,1019.7514963652806,0.004594367900494084
original,chemical_cluster,-1,repr_mlp,"novelty_[0.2,0.35)",23745,2858,1895,2103.400728468768,1189.5775339646748,False,0.5142714825886731,0.6523936823837647,0.16051475540256335,-0.025944562013571437,165118.50162164523,0.743921579259372
original,chemical_cluster,-1,repr_mlp,"novelty_[0.35,0.5)",8008,1003,511,742.945581766181,271.45546045887085,False,0.5753961843194629,0.7219838361732521,0.2783554543776439,0.04436079287529683,49036.35525147844,0.2209274095969716
original,chemical_cluster,-1,repr_mlp,"novelty_[0.5,0.7)",1431,172,91,121.27225640382227,50.42224772076024,False,0.606304723437967,0.7413639895325528,0.2799331584828781,0.11906367814232362,6602.051850361735,0.02974475174276611
