dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,similarity_bin
lockbox_all_790,Fine-tuned Nesso-1,19.0,0.642487247368421,0.8312030677061523,0.5052672889072848,0.8256913836890452,0.7596491228070175,0.26796143684210516,-0.6838017091183987,1.108632304462122,>0.6
lockbox_common_714,Frozen Nesso-1,116.0,1.0991121086206896,1.5052176760768776,1.115041389710467,0.20719855898852263,0.16759222450086564,0.9196255206896551,1.0859266357099913,0.615376368125444,<=0.3
lockbox_common_714,Affine calibration,116.0,0.9404027310344828,1.2347149575342766,0.9540318588757193,0.20719854729234405,0.16759222450086564,0.2551595448275862,2.0314694918483815,0.49742846330759294,<=0.3
lockbox_common_714,Fine-tuned Nesso-1,116.0,0.6951769344827585,0.9635102891784739,0.7052520384777479,0.6289969101284621,0.5598671360502044,0.1881046913793103,-0.9339750872084132,1.1663848269218258,<=0.3
lockbox_common_714,2D LightGBM,116.0,0.6104568010624988,0.8842875308102662,0.6193040677798984,0.6850590406594049,0.6563089900272789,0.08510394581858134,-0.2508200692174624,1.037836439869034,<=0.3
lockbox_common_714,Frozen Nesso-1,351.0,0.7471630769230768,1.082759053366219,0.9518471919593002,0.380419867575915,0.350860766599325,0.5327849247863249,-1.9987203811137546,1.2927571288624353,"(0.3,0.4]"
lockbox_common_714,Affine calibration,351.0,0.7747938487179488,0.955936017880117,0.9870473689446583,0.38041984346357793,0.350860766599325,-0.1807592578347579,-0.012363029071953288,1.0449770192567271,"(0.3,0.4]"
lockbox_common_714,Fine-tuned Nesso-1,351.0,0.5768704162393161,0.7807014119439522,0.7349031326374239,0.6404184286699798,0.5857864438752178,-0.0442081307692308,0.0051507506040797,1.0088158673132959,"(0.3,0.4]"
lockbox_common_714,2D LightGBM,351.0,0.45635236221501274,0.6375006802947533,0.5813693528689642,0.7786007313437513,0.7323699008329817,-0.008288121062086786,-0.155234752168603,1.0366128476001406,"(0.3,0.4]"
lockbox_common_714,Frozen Nesso-1,170.0,0.8334550147058822,1.166471959978387,0.9633244890393011,0.38111447448539804,0.38772536654942596,0.6416625676470589,-1.3770210981485411,1.1478863622233815,"(0.4,0.5]"
lockbox_common_714,Affine calibration,170.0,0.7732841088235293,0.9765517483159725,0.8937777154985547,0.38111444177976456,0.38772536654942596,-0.08015378647058824,0.3867383236068593,0.9278733288987978,"(0.4,0.5]"
lockbox_common_714,Fine-tuned Nesso-1,170.0,0.5602917435294118,0.7682172891639837,0.6475967485046322,0.6856573524663564,0.6452689255051528,0.030058448235294116,-0.3654646966012365,1.0769129988456914,"(0.4,0.5]"
lockbox_common_714,2D LightGBM,170.0,0.41947921915492015,0.562944124418517,0.4848427297514304,0.8477165838803484,0.7789535140743535,-0.04617476324893562,-0.24756171466856672,1.0685560264801557,"(0.4,0.5]"
lockbox_common_714,Frozen Nesso-1,58.0,0.9213737137931034,1.2761718332061305,1.0037569782700217,0.3139955776227615,0.2121696869306237,0.7267850999999999,-2.816084784638008,1.421774387494562,"(0.5,0.6]"
lockbox_common_714,Affine calibration,58.0,0.8800110034482759,1.0449488868069665,0.9586958825091487,0.3139955946392356,0.2121696869306237,0.0004964551724138505,-0.6314890070771283,1.1492658521744186,"(0.5,0.6]"
lockbox_common_714,Fine-tuned Nesso-1,58.0,0.6681870379310347,0.8762335433175168,0.7279319911914248,0.6383489420585807,0.5333312835024248,0.1303990448275863,-1.6941376471414118,1.3588853466685424,"(0.5,0.6]"
lockbox_common_714,2D LightGBM,58.0,0.5281836205377753,0.6845271847714695,0.5754103758182183,0.7827954594002166,0.7288891637138173,-0.017138720444318415,-0.02578814571263746,1.0101972006339677,"(0.5,0.6]"
lockbox_common_714,Frozen Nesso-1,19.0,1.403336815789474,1.7433602547055587,1.1036175289735102,0.6524401554047421,0.6456140350877193,1.2170433105263154,-15.990487750686771,4.09259168900706,>0.6
lockbox_common_714,Affine calibration,19.0,1.165680947368421,1.3004951307085237,0.9167192880794703,0.6524402177758105,0.6456140350877193,0.4488914526315788,-9.702105922770247,3.3081728651107607,>0.6
lockbox_common_714,Fine-tuned Nesso-1,19.0,0.642487247368421,0.8312030677061523,0.5052672889072848,0.8256913836890452,0.7596491228070175,0.26796143684210516,-0.6838017091183987,1.108632304462122,>0.6
lockbox_common_714,2D LightGBM,19.0,0.4240384209414406,0.6359254955408198,0.3334739237536164,0.9113908982932475,0.8684210526315789,0.23767385258195112,-0.784271845361717,1.1439296827472816,>0.6
