budget,method,stratum,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
100,native_continuous,ge4,2308,18565.713434789737,2141.272332721013,0.4114614171286954,0.4304808849298793,0.2106048567075742,0.13859669938802058,0.060715251553931905,0.541557284262754,4.952076929903322,5.090673629291342,0.500095031325158,0.30811287646548496,0.6161086536873676,0.6762500000000005,0.3744755983352661,0.5537531953201713,4.261742115020752,7.441765785217285,4.0,7.54855421686747,0.3737000351632688,0.41369527070759904,0.4261111608480021,0.9930675909878682,3.3355133356791846,0.9995667244367418,4.582956649707549
100,repr_ridge_stable,lt4,1036,3629.9730764192436,818.9342623395676,1.1803044640105613,1.3865240891977038,0.1888019598404357,1.270872615649973,1.0698797284570642,1.7093683147230176,2.835916988416989,4.106789604066961,0.7026480380032734,1.0050841848332879,1.4304233847851513,1.2325,0.9798327389821995,0.7949961371052329,-2.711616824791488,13.332896587754341,1.61,3.99,0.09754839718573348,1.1754144760841534,1.2106402075207454,0.5096525096525096,2.4536261875082266,0.7027027027027027,3.5680548750401644
100,repr_ridge_stable,4to5,1257,8545.513503531074,1139.9038819884247,0.3726849011674676,0.38016397631880666,0.1169938063083006,0.07809422893510651,0.04698063304950317,0.5008774471338772,4.585182975338107,4.663277204273213,0.2665338639814909,0.4468542792740528,1.6765384803226504,0.41999999999999993,0.47907899441866775,1.1406642724253997,0.30723826860119363,6.438452894665851,4.0,4.99,0.06495317980017166,0.36916057119965384,0.37804342141593167,0.9769291964996022,2.475169728264498,0.994431185361973,3.555540986252919
100,repr_ridge_stable,5to6,995,9463.602135115412,980.1715817135897,0.5690707495992728,0.5626098471306692,0.11319519193906545,-0.521707912093552,-0.5290500283199112,0.7210309242357533,5.339572864321608,4.817864952228056,0.25173097921555226,0.45446585989463817,1.8053632544983191,0.3799999999999999,0.3960177257664075,1.042151909911599,0.5511209513103568,6.264833461929069,5.0,5.99,0.053745859451715366,0.5821105775399518,0.5630903818961942,0.9085427135678392,2.443771680356908,0.9809045226130654,3.575241920326751
100,repr_ridge_stable,ge6,56,556.5977961432507,55.94354064284147,1.5734173374527889,1.5756992967210637,0.014868999167540932,-1.5756992967210637,-1.5734173374527889,2.35109216186857,6.302563468158348,4.726864171437284,0.27150028399727333,1.5635286946889404,5.758847363506415,0.26624999999999943,0.34076477027955665,1.2798676818011545,-6.602363373766557,5.57815637502926,6.0,7.54855421686747,-0.10767957195097967,1.5886946251789957,1.5756992967210635,0.5,2.53055442231862,0.8214285714285714,3.4620474154381435
100,repr_ridge_stable,ge4,2308,18565.713434789737,2141.272332721013,0.5087875384938002,0.4878258564749287,0.23013348569510073,-0.22061268950521448,-0.29522194151889264,0.7034784853577882,4.952076929903322,4.7314642403981075,0.500095031325158,0.5126962008383985,1.025197549913363,0.6762500000000005,0.44006411724086103,0.6507417630179086,-6.602363373766557,6.438452894665851,4.0,7.54855421686747,0.12695175321901028,0.5416693871583594,0.4891938062953393,0.9358752166377816,2.4629775641392726,0.9844020797227037,3.561765765038809
500,descriptor_lightgbm_rdkit_mordred,lt4,1036,3629.9730764192436,818.9342623395676,0.8401517933695231,0.9945182964851413,0.29458009587518125,0.934105358882762,0.754031601996709,1.2482402384823508,2.835916988416989,3.7700223472997503,0.7026480380032734,0.6884306902979775,0.9797660465320625,1.2325,1.0865945527987564,0.8816182984168409,2.264636551145392,5.458925633504355,1.61,3.99,0.29761373251429035,0.8408231425424535,0.8574500496876214,0.5144787644787645,1.7226995609956433,0.6920849420849421,2.3917219786313577
500,descriptor_lightgbm_rdkit_mordred,4to5,1257,8545.513503531074,1139.9038819884247,0.3260343456747169,0.3401050337572194,0.24280024676898326,0.09366424074801356,0.06055795756044209,0.4306894840537233,4.585182975338107,4.67884721608612,0.2665338639814909,0.39909469602105496,1.497350805857711,0.41999999999999993,0.4985478970732453,1.187018802555346,2.6524968723428715,5.532124790972588,4.0,4.99,0.168249583760287,0.32179624609516994,0.3361122646651008,0.9562450278440732,1.7295430358102273,0.9912490055688147,2.4042497116067203
500,descriptor_lightgbm_rdkit_mordred,5to6,995,9463.602135115412,980.1715817135897,0.4793434873624658,0.4753339934349847,0.21338479957301343,-0.44584266561699754,-0.4517874720105858,0.5872523011627435,5.339572864321608,4.893730198704611,0.25173097921555226,0.3460761247013511,1.3747855976240926,0.3799999999999999,0.44471465930686715,1.1703017350180718,3.3516461589070423,5.604191099975965,5.0,5.99,0.1546630804649362,0.4900152635711592,0.4753970083758566,0.8693467336683417,1.7220684270036708,0.9517587939698492,2.3755599998560406
500,descriptor_lightgbm_rdkit_mordred,ge6,56,556.5977961432507,55.94354064284147,1.3272148217514346,1.3284101819094263,0.12555118900471438,-1.3284101819094263,-1.3272148217514346,1.3927554127749575,6.302563468158348,4.974153286248921,0.27150028399727333,0.31442009234383633,1.1580838432824403,0.26624999999999943,0.35492619175956985,1.3330561192847723,4.118120447159318,5.473310516543454,6.0,7.54855421686747,-0.012753539724190749,1.322045547813831,1.3284101819094263,0.07142857142857142,1.7352177569007663,0.5,2.402103165326392
500,descriptor_lightgbm_rdkit_mordred,ge4,2308,18565.713434789737,2141.272332721013,0.434196715744046,0.42238315471731475,0.3567258011376996,-0.17342654759774148,-0.24220792275226602,0.5447612368487402,4.952076929903322,4.77865038230558,0.500095031325158,0.3909475925720386,0.781746604312586,0.6762500000000005,0.48084745304104004,0.7110498381383212,2.6524968723428715,5.604191099975965,4.0,7.54855421686747,0.4457177596868323,0.4596063636819485,0.4220287802085676,0.8973136915077989,1.7264583515028382,0.9623050259965338,2.391829230764595
